formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t,tau,t_jess,t_sisso_14,t_sisso_82,t_sisso_11,t_sisso_12,t_sisso_88,t_sisso_17,bandgap,bandgap_sigma
NdNiSe3,Nd,Ni,Se,3.0,3.0,-2.0,1.14,1.91,2.55,0.92,198.14,127.64,60.11,-1.41,-0.6399999999999999,-2.3,-1.53,2.123440359341208,0.3033713535883718,0.644190976077521,0.6130434782608696,0.4183006535947711,-2.1210724900000018,-4.439555410000002,-6.510488250000024,-2.121072562812813,-4.4395555624023935,-0.2111875472497096,0.3586248253414548,-1.3513871613897686,-2.730814399751447,5.776794692320843,7.898771670150475,10.84576444731508,200.25,125.17,79.97,272.22,156.73999999999998,95.78,117.44,33.809999999999995,23.97,0.8920109485048155,2.755789647577932,1.3072929478324993,1.1299008920024298,0.9644635051143552,1.3544173388033278,1.395258214913192,0.1894807061408652,0.355732096363366,0.6539504528045654,0.21856634318828583
NdCoS3,Nd,Co,S,3.0,3.0,-2.0,1.14,1.88,2.58,0.9440000000000002,184.4,127.64,61.2,-1.4400000000000002,-0.7000000000000002,-2.3,-1.56,2.0856209150326794,0.3318872017353579,0.6921908893709328,0.6260869565217393,0.4487179487179488,-2.1210724900000018,-4.433222810000001,-7.00838179000003,-2.121072562812813,0.1435549649279978,0.8145175879610062,0.3586248253414548,-1.3590473276566433,-2.847077729734469,5.776794692320843,7.672566418386976,11.769320157021456,200.25,128.78,74.72999999999999,272.22,161.4,84.92999999999999,117.44,35.82,273.21,0.8983963998546443,2.5250388979736536,1.2535140823810391,1.0956093074657234,0.8748548679216464,1.3935956444762023,1.1840931922074684,0.4689749576587549,0.357674030318196,1.1435003280639648,0.17077790200710297
NdCoSe3,Nd,Co,Se,3.0,3.0,-2.0,1.14,1.88,2.55,0.926,198.14,127.64,61.2,-1.41,-0.6699999999999999,-2.3,-1.56,2.0856209150326794,0.3088725143837691,0.644190976077521,0.6130434782608696,0.4294871794871794,-2.1210724900000018,-4.433222810000001,-6.510488250000024,-2.121072562812813,0.1435549649279978,-0.2111875472497096,0.3586248253414548,-1.3590473276566433,-2.730814399751447,5.776794692320843,7.672566418386976,10.84576444731508,200.25,128.78,79.97,272.22,161.4,95.78,117.44,35.82,23.97,0.8882618471942956,2.749548701895222,1.2678914724779835,1.11192991953522,0.9449189731168924,1.3618887382108185,1.3607837600597907,0.3247769110248287,0.3584692349502317,0.610886812210083,0.20061029493808746
NdFeS3,Nd,Fe,S,3.0,3.0,-2.0,1.14,1.83,2.58,0.9540000000000002,184.4,127.64,64.62,-1.4400000000000002,-0.75,-2.3,-1.61,1.975239863819251,0.3504338394793926,0.6921908893709328,0.6260869565217393,0.4658385093167702,-2.1210724900000018,-4.431945739999999,-7.00838179000003,-2.121072562812813,-0.812293287884647,0.8145175879610062,0.3586248253414548,-1.3037382507616442,-2.847077729734469,5.776794692320843,7.470426106445764,11.769320157021456,200.25,133.01,74.72999999999999,272.22,193.65,84.92999999999999,117.44,38.15,273.21,0.8860579704614113,2.559067763477899,1.190861912300137,1.0412325365876516,0.8151813308336315,1.419683329685178,1.0740765080972925,0.7558794738672521,0.3657945040420419,0.9929007887840271,0.16260497272014618
NdFeSe3,Nd,Fe,Se,3.0,3.0,-2.0,1.14,1.83,2.55,0.936,198.14,127.64,64.62,-1.41,-0.7199999999999998,-2.3,-1.61,1.975239863819251,0.3261330372463915,0.644190976077521,0.6130434782608696,0.4472049689440993,-2.1210724900000018,-4.431945739999999,-6.510488250000024,-2.121072562812813,-0.812293287884647,-0.2111875472497096,0.3586248253414548,-1.3037382507616442,-2.730814399751447,5.776794692320843,7.470426106445764,10.84576444731508,200.25,133.01,79.97,272.22,193.65,95.78,117.44,38.15,23.97,0.8767005154946286,2.771695432930081,1.2018102899905536,1.0575531486571483,0.8858735610741806,1.385599692979282,1.2546254205938516,0.6232799040275885,0.366639525803432,0.5990540981292725,0.1676706224679947
NdCrS3,Nd,Cr,S,3.0,3.0,-2.0,1.14,1.66,2.58,0.988,184.4,127.64,61.87,-1.4400000000000002,-0.9200000000000002,-2.3,-1.78,2.0630353967997417,0.3355206073752711,0.6921908893709328,0.6260869565217393,0.5168539325842697,-2.1210724900000018,-4.38888821,-7.00838179000003,-2.121072562812813,-4.388888360663078,0.8145175879610062,0.3586248253414548,-1.078476583023451,-2.847077729734469,5.776794692320843,7.228119012129165,11.769320157021456,200.25,142.45999999999998,74.72999999999999,272.22,198.93,84.92999999999999,117.44,43.95,273.21,0.8959522304962059,2.526826268912771,1.0853047056747993,1.0847210874411064,0.8628909402729765,1.3986683527733994,1.162304755263112,0.8749586500619589,0.3584096547233821,0.9828534722328186,0.15468095242977142
NdCrSe3,Nd,Cr,Se,3.0,3.0,-2.0,1.14,1.66,2.55,0.97,198.14,127.64,61.87,-1.41,-0.8899999999999999,-2.3,-1.78,2.0630353967997417,0.31225396184516,0.644190976077521,0.6130434782608696,0.4999999999999999,-2.1210724900000018,-4.38888821,-6.510488250000024,-2.121072562812813,-4.388888360663078,-0.2111875472497096,0.3586248253414548,-1.078476583023451,-2.730814399751447,5.776794692320843,7.228119012129165,10.84576444731508,200.25,142.45999999999998,79.97,272.22,198.93,95.78,117.44,43.95,23.97,0.8859729527763108,2.7489048207149365,1.0862798812300858,1.1010416995106032,0.9330839577353623,1.3665016882560046,1.3397511976510013,0.7584400569438512,0.3584298629628274,0.6576074361801147,0.21705186367034912
NdInS3,Nd,In,S,3.0,3.0,-2.0,1.14,1.78,2.58,0.964,184.4,127.64,92.0,-1.4400000000000002,-0.8,-2.3,-1.66,1.387391304347826,0.4989154013015184,0.6921908893709328,0.6260869565217393,0.4819277108433735,-2.1210724900000018,-2.5178859200000034,-7.00838179000003,-2.121072562812813,-2.517886006434747,0.8145175879610062,0.3586248253414548,-0.1678385307595446,-2.847077729734469,5.776794692320843,5.364511578154709,11.769320157021456,200.25,114.07,74.72999999999999,272.22,151.32,84.92999999999999,117.44,49.29,273.21,0.7982856577579619,5.716178202522697,1.037077193643822,1.0309482738159954,0.7808886313673076,1.3039536852644464,0.9613279137402908,1.1631098946027243,0.3593151825773367,1.6718748807907104,0.1494366079568863
NdInSe3,Nd,In,Se,3.0,3.0,-2.0,1.14,1.78,2.55,0.946,198.14,127.64,92.0,-1.41,-0.7699999999999998,-2.3,-1.66,1.387391304347826,0.4643181588775613,0.644190976077521,0.6130434782608696,0.4638554216867468,-2.1210724900000018,-2.5178859200000034,-6.510488250000024,-2.121072562812813,-2.517886006434747,-0.2111875472497096,0.3586248253414548,-0.1678385307595446,-2.730814399751447,5.776794692320843,5.364511578154709,10.84576444731508,200.25,114.07,79.97,272.22,151.32,95.78,117.44,49.29,23.97,0.7939678343260791,5.865526028609653,1.0493286917129423,0.978074401037578,0.7845214485922232,1.317143189097921,1.0343771771138894,1.2131778682891,0.3624238331632876,1.4116418361663818,0.09803269058465958
NdMnS3,Nd,Mn,S,3.0,3.0,-2.0,1.14,1.55,2.58,1.0100000000000002,184.4,127.64,64.5,-1.4400000000000002,-1.03,-2.3,-1.89,1.9789147286821704,0.3497830802603037,0.6921908893709328,0.6260869565217393,0.544973544973545,-2.1210724900000018,-4.411136790000002,-7.00838179000003,-2.121072562812813,-0.936468712147378,0.8145175879610062,0.3586248253414548,-1.152247272554489,-2.847077729734469,5.776794692320843,7.312724883033412,11.769320157021456,200.25,40.830000000000005,74.72999999999999,272.22,205.42,84.92999999999999,117.44,137.51,273.21,0.8864851579120154,2.5568219265099903,1.0184288753792072,1.0430912731822768,0.8172177047789116,1.4187597582141165,1.0778875223491848,1.1493537545863757,0.3644314501019029,1.6709460020065308,0.11262533813714981
NdMnSe3,Nd,Mn,Se,3.0,3.0,-2.0,1.14,1.55,2.55,0.992,198.14,127.64,64.5,-1.41,-0.9999999999999998,-2.3,-1.89,1.9789147286821704,0.3255274048652468,0.644190976077521,0.6130434782608696,0.529100529100529,-2.1210724900000018,-4.411136790000002,-6.510488250000024,-2.121072562812813,-0.936468712147378,-0.2111875472497096,0.3586248253414548,-1.152247272554489,-2.730814399751447,5.776794692320843,7.312724883033412,10.84576444731508,200.25,40.830000000000005,79.97,272.22,205.42,95.78,117.44,137.51,23.97,0.8771010792391434,2.769845182323944,1.0162550722019104,1.0594118852517735,0.8878891629844985,1.384760782999076,1.2583010543319109,1.0423668710767882,0.3643524807904365,1.4502816200256348,0.09499140828847885
YbGdS3,Gd,Yb,S,3.0,3.0,-2.0,1.2,1.1,2.58,1.088,184.4,152.0,102.0,-1.38,-1.48,-2.24,-2.34,1.4901960784313726,0.5531453362255965,0.824295010845987,0.6160714285714286,0.6324786324786326,-2.8746634,-3.076992080000003,-7.00838179000003,-1.3761398572405408,-1.0944533775707237,0.8145175879610062,1.325343534503421,0.4767999173605045,-2.847077729734469,6.0569064659121885,6.531525574217345,11.769320157021456,30.32,173.83,74.72999999999999,202.1,248.9,84.92999999999999,111.28,112.51,273.21,0.8305562862563497,4.014917231202359,0.8090107262243618,0.971600620715386,0.6127009409201778,1.4302380066988765,0.5695801082764225,1.270738059118692,0.3633663750664946,2.027740240097046,0.10719636082649231
YbGdSe3,Gd,Yb,Se,3.0,3.0,-2.0,1.2,1.1,2.55,1.07,198.14,152.0,102.0,-1.35,-1.4499999999999995,-2.24,-2.34,1.4901960784313726,0.5147875239729485,0.767134349449884,0.6026785714285713,0.6196581196581196,-2.8746634,-3.076992080000003,-6.510488250000024,-1.3761398572405408,-1.0944533775707237,-0.2111875472497096,1.325343534503421,0.4767999173605045,-2.730814399751447,6.0569064659121885,6.531525574217345,10.84576444731508,30.32,173.83,79.97,202.1,248.9,95.78,111.28,112.51,23.97,0.8249050177613331,4.1496231135553,0.8023014012032177,0.9463468763882504,0.62711720616752,1.4415232986924793,0.6216170328658797,1.3161673104822378,0.3637211261067918,1.2970023155212402,0.09189189225435257
YbYS3,Y,Yb,S,3.0,3.0,-2.0,1.22,1.1,2.58,1.084,184.4,146.0,102.0,-1.36,-1.48,-2.22,-2.34,1.431372549019608,0.5531453362255965,0.79175704989154,0.6126126126126127,0.6324786324786326,-2.518776380000004,-3.076992080000003,-7.00838179000003,-2.5187764664653174,-1.0944533775707237,0.8145175879610062,0.1564045493718278,0.4767999173605045,-2.847077729734469,6.250735714575128,6.531525574217345,11.769320157021456,178.5,173.83,74.72999999999999,235.81,248.9,84.92999999999999,94.26,112.51,273.21,0.8157425593908976,4.78138703131315,0.7901202584019943,1.0430778672606884,0.7035110223648076,1.3496902084229967,0.7402576095835371,1.170787859992387,0.3539262027093254,2.0229055881500244,0.11361642181873322
YbYSe3,Y,Yb,Se,3.0,3.0,-2.0,1.22,1.1,2.55,1.066,198.14,146.0,102.0,-1.3299999999999998,-1.4499999999999995,-2.22,-2.34,1.431372549019608,0.5147875239729485,0.7368527303926518,0.5990990990990991,0.6196581196581196,-2.518776380000004,-3.076992080000003,-6.510488250000024,-2.5187764664653174,-1.0944533775707237,-0.2111875472497096,0.1564045493718278,0.4767999173605045,-2.730814399751447,6.250735714575128,6.531525574217345,10.84576444731508,178.5,173.83,79.97,235.81,248.9,95.78,94.26,112.51,23.97,0.810769443115283,4.916092913666091,0.7838697299979447,1.0077183458208248,0.7132613240590568,1.360975500416599,0.7960093863719848,1.2148996706665192,0.3544530281898425,1.4441144466400146,0.09390813857316971
YbDyS3,Dy,Yb,S,3.0,3.0,-2.0,1.22,1.1,2.58,1.084,184.4,145.0,102.0,-1.36,-1.48,-2.22,-2.34,1.4215686274509804,0.5531453362255965,0.7863340563991323,0.6126126126126127,0.6324786324786326,-3.164901719999999,-3.076992080000003,-7.00838179000003,-1.1732693202763391,-1.0944533775707237,0.8145175879610062,0.4711191951556382,0.4767999173605045,-2.847077729734469,6.187951074411365,6.531525574217345,11.769320157021456,28.52,173.83,74.72999999999999,256.01,248.9,84.92999999999999,111.98,112.51,273.21,0.8132736049133222,4.931719125484444,0.7877288532615524,1.054656744417376,0.7188065987036842,1.3359444498474726,0.769586686747721,1.1530484012901907,0.3519784316430996,2.08203125,0.12819114327430725
YbDySe3,Dy,Yb,Se,3.0,3.0,-2.0,1.22,1.1,2.55,1.066,198.14,145.0,102.0,-1.3299999999999998,-1.4499999999999995,-2.22,-2.34,1.4215686274509804,0.5147875239729485,0.731805793883113,0.5990990990990991,0.6196581196581196,-3.164901719999999,-3.076992080000003,-6.510488250000024,-1.1732693202763391,-1.0944533775707237,-0.2111875472497096,0.4711191951556382,0.4767999173605045,-2.730814399751447,6.187951074411365,6.531525574217345,10.84576444731508,28.52,173.83,79.97,256.01,248.9,95.78,111.98,112.51,23.97,0.808413514007608,5.066425007837385,0.781591965919378,1.017708842770785,0.7277792398057519,1.3472297418410752,0.8259874951847281,1.196935386183334,0.3525346187403094,1.3798549175262451,0.09041652828454971
YbHoS3,Ho,Yb,S,3.0,3.0,-2.0,1.23,1.1,2.58,1.082,184.4,104.0,102.0,-1.35,-1.48,-2.21,-2.34,1.0196078431372548,0.5531453362255965,0.5639913232104121,0.6108597285067874,0.6324786324786326,-3.2008237100000025,-3.076992080000003,-7.00838179000003,-1.1351101489664033,-1.0944533775707237,0.8145175879610062,0.3636387404670252,0.4767999173605045,-2.847077729734469,6.258815168820546,6.531525574217345,11.769320157021456,27.71,173.83,74.72999999999999,111.73,248.9,84.92999999999999,256.24,112.51,273.21,0.7120464713327326,150.33230522490717,0.6877078399596741,1.471466045833301,1.3964800210785993,0.6712587632890689,2.267968001731215,0.2972445760695481,0.0409007766507912,1.983062744140625,0.1271256059408188
YbHoSe3,Ho,Yb,Se,3.0,3.0,-2.0,1.23,1.1,2.55,1.064,198.14,104.0,102.0,-1.3199999999999998,-1.4499999999999995,-2.21,-2.34,1.0196078431372548,0.5147875239729485,0.5248813969920259,0.5972850678733032,0.6196581196581196,-3.2008237100000025,-3.076992080000003,-6.510488250000024,-1.1351101489664033,-1.0944533775707237,-0.2111875472497096,0.3636387404670252,0.4767999173605045,-2.730814399751447,6.258815168820546,6.531525574217345,10.84576444731508,27.71,173.83,79.97,111.73,248.9,95.78,256.24,112.51,23.97,0.7118204205929319,150.4670111072601,0.6861198050015442,1.3904332817896974,1.3735685779011992,0.6825440552826716,2.361725574093952,0.3302599544397651,0.0412429022258952,1.3644582033157349,0.09033768624067307
YbErS3,Er,Yb,S,3.0,3.0,-2.0,1.24,1.1,2.58,1.08,184.4,104.0,102.0,-1.34,-1.48,-2.2,-2.34,1.0196078431372548,0.5531453362255965,0.5639913232104121,0.6090909090909091,0.6324786324786326,-3.1956924299999976,-3.076992080000003,-7.00838179000003,-1.116046528311978,-1.0944533775707237,0.8145175879610062,0.3640982624916961,0.4767999173605045,-2.847077729734469,6.339470940626883,6.531525574217345,11.769320157021456,26.96,173.83,74.72999999999999,255.11,248.9,84.92999999999999,111.71,112.51,273.21,0.7120464713327326,150.33230522490717,0.6857164973927875,1.471466045833301,1.3964800210785993,0.6712587632890689,2.267968001731215,0.2992445760695481,0.0409007766507912,2.154294729232788,0.08402988314628601
YbErSe3,Er,Yb,Se,3.0,3.0,-2.0,1.24,1.1,2.55,1.0619999999999998,198.14,104.0,102.0,-1.3099999999999998,-1.4499999999999995,-2.2,-2.34,1.0196078431372548,0.5147875239729485,0.5248813969920259,0.5954545454545453,0.6196581196581196,-3.1956924299999976,-3.076992080000003,-6.510488250000024,-1.116046528311978,-1.0944533775707237,-0.2111875472497096,0.3640982624916961,0.4767999173605045,-2.730814399751447,6.339470940626883,6.531525574217345,10.84576444731508,26.96,173.83,79.97,255.11,248.9,95.78,111.71,112.51,23.97,0.7118204205929319,150.4670111072601,0.6840170273622487,1.3904332817896974,1.3735685779011992,0.6825440552826716,2.361725574093952,0.3322599544397653,0.0412429022258952,1.502805233001709,0.09279584139585495
YbTmS3,Tm,Yb,S,3.0,3.0,-2.0,1.25,1.1,2.58,1.078,184.4,100.0,102.0,-1.33,-1.48,-2.19,-2.34,0.9803921568627452,0.5531453362255965,0.5422993492407809,0.6073059360730594,0.6324786324786326,-3.153999099999999,-3.076992080000003,-7.00838179000003,-1.0724057668138651,-1.0944533775707237,0.8145175879610062,0.5222435779285232,0.4767999173605045,-2.847077729734469,6.424661898518719,6.531525574217345,11.769320157021456,176.24,173.83,74.72999999999999,254.47,248.9,84.92999999999999,111.95,112.51,273.21,0.7021706534224311,-155.7167150740505,0.6742242094228341,1.5089086011644148,1.4080942938743497,0.5928173369825064,2.377342708929417,0.200012735363106,-0.046156111478361,2.2292397022247314,0.08172445744276047
YbTmSe3,Tm,Yb,Se,3.0,3.0,-2.0,1.25,1.1,2.55,1.0599999999999998,198.14,100.0,102.0,-1.2999999999999998,-1.4499999999999995,-2.19,-2.34,0.9803921568627452,0.5147875239729485,0.5046936509538711,0.593607305936073,0.6196581196581196,-3.153999099999999,-3.076992080000003,-6.510488250000024,-1.0724057668138651,-1.0944533775707237,-0.2111875472497096,0.5222435779285232,0.4767999173605045,-2.730814399751447,6.424661898518719,6.531525574217345,10.84576444731508,176.24,173.83,79.97,254.47,248.9,95.78,111.95,112.51,23.97,0.7023967041622318,-155.58200919169758,0.6728675087581513,1.4255179390388124,1.3835764362596974,0.604102628976109,2.4763848966767683,0.2317451248873956,-0.0466020437106533,1.664240837097168,0.08495469391345978
YbLuS3,Lu,Yb,S,3.0,3.0,-2.0,1.27,1.1,2.58,1.0740000000000005,184.4,99.0,102.0,-1.31,-1.48,-2.17,-2.34,0.9705882352941176,0.5531453362255965,0.5368763557483731,0.6036866359447005,0.6324786324786326,-1.7533157500000005,-3.076992080000003,-7.00838179000003,-1.7533158101883548,-1.0944533775707237,0.8145175879610062,0.3090144625889975,0.4767999173605045,-2.847077729734469,5.26002856955933,6.531525574217345,11.769320157021456,162.29,173.83,74.72999999999999,232.06,248.9,84.92999999999999,97.53,112.51,273.21,0.6997016989448558,-104.72903088368967,0.6678495416445264,1.518272779229921,1.3956206680871477,0.5727166652755037,2.3859186357021778,0.1780720036331224,-0.0714565255027146,1.8835283517837524,0.08707425743341446
YbLuSe3,Lu,Yb,Se,3.0,3.0,-2.0,1.27,1.1,2.55,1.0559999999999998,198.14,99.0,102.0,-1.2799999999999998,-1.4499999999999995,-2.17,-2.34,0.9705882352941176,0.5147875239729485,0.4996467144443323,0.5898617511520736,0.6196581196581196,-1.7533157500000005,-3.076992080000003,-6.510488250000024,-1.7533158101883548,-1.0944533775707237,-0.2111875472497096,0.3090144625889975,0.4767999173605045,-2.730814399751447,5.26002856955933,6.531525574217345,10.84576444731508,162.29,173.83,79.97,232.06,248.9,95.78,97.53,112.51,23.97,0.7000407750545568,-104.59432500133676,0.6663791925769612,1.4343395025347292,1.3710772638460516,0.5840019572691063,2.4863487022374087,0.2094756263461747,-0.0721726204441539,1.4845261573791504,0.09551076591014862
