Unnamed: 0,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess
PrTlS3,Pr,Tl,S,3.0,3.0,-2.0,1.13,1.62,2.58,0.998,184.4,156.0,88.45,-1.4500000000000002,-0.96,-2.31,-1.82,1.7637083097795363,0.4796637744034707,0.8459869848156182,0.6277056277056278,0.5274725274725275,-2.320982129999998,-2.36925177,-7.00838179000003,-2.320982209675374,-2.3692518513323906,0.8145175879610062,0.1152585549847216,-0.1395649868243635,-2.847077729734469,5.700078313684422,5.166986943295928,11.769320157021456,201.97,109.74,74.72999999999999,271.35,154.46,84.92999999999999,117.98,59.04,273.21,0.4515096451412344,0.8821687910329076,2.409699573981935,1.0498031383188324
PrZrS3,Pr,Zr,S,3.0,3.0,-2.0,1.13,1.33,2.58,1.056,184.4,156.0,85.0,-1.4500000000000002,-1.25,-2.31,-2.11,1.8352941176470587,0.4609544468546637,0.8459869848156182,0.6277056277056278,0.5924170616113744,-2.320982129999998,-3.6022224400000007,-7.00838179000003,-2.320982209675374,-3.602222563658176,0.8145175879610062,0.1152585549847216,-0.2714066713124998,-2.847077729734469,5.700078313684422,7.139550537079975,11.769320157021456,201.97,166.94,74.72999999999999,271.35,222.0,84.92999999999999,117.98,84.44,273.21,0.4958884776346182,0.8934660528334405,2.236999503531835,0.9466872341623934
TbPrS3,Pr,Tb,S,3.0,3.0,-2.0,1.13,1.1,2.58,1.102,184.4,156.0,92.41,-1.4500000000000002,-1.48,-2.31,-2.34,1.6881289903690078,0.5011388286334056,0.8459869848156182,0.6277056277056278,0.6324786324786326,-2.320982129999998,-3.0839381900000022,-7.00838179000003,-2.320982209675374,-1.3025399247139844,0.8145175879610062,0.1152585549847216,0.4848213986217848,-2.847077729734469,5.700078313684422,6.119534423052706,11.769320157021456,201.97,29.39,74.72999999999999,271.35,257.89,84.92999999999999,117.98,112.45,273.21,0.4031380205272157,0.8695486240863005,2.667314674458657,0.862986568832578
PrUS3,Pr,U,S,3.0,3.0,-2.0,1.13,1.38,2.58,1.046,184.4,156.0,99.0,-1.4500000000000002,-1.2000000000000002,-2.31,-2.06,1.5757575757575757,0.5368763557483731,0.8459869848156182,0.6277056277056278,0.5825242718446603,-2.320982129999998,-1.9952727799999996,-7.00838179000003,-2.320982209675374,-1.9952728484943232,0.8145175879610062,0.1152585549847216,0.546861732757815,-2.847077729734469,5.700078313684422,5.590257855882314,11.769320157021456,201.97,187.98,74.72999999999999,271.35,241.76,84.92999999999999,117.98,131.23,273.21,0.4926178345746864,0.8493287037167567,3.258264817661548,0.9152037655129696
PrInS3,Pr,In,S,3.0,3.0,-2.0,1.13,1.78,2.58,0.966,184.4,156.0,92.0,-1.4500000000000002,-0.8,-2.31,-1.66,1.6956521739130437,0.4989154013015184,0.8459869848156182,0.6277056277056278,0.4819277108433735,-2.320982129999998,-2.5178859200000034,-7.00838179000003,-2.320982209675374,-2.517886006434747,0.8145175879610062,0.1152585549847216,-0.1678385307595446,-2.847077729734469,5.700078313684422,5.364511578154709,11.769320157021456,201.97,114.07,74.72999999999999,271.35,151.32,84.92999999999999,117.98,49.29,273.21,0.4080231472036926,0.870838475518556,2.6375049397679,1.1342576897040932
YbCeS3,Ce,Yb,S,3.0,3.0,-2.0,1.12,1.1,2.58,1.104,184.4,160.20000000000002,102.0,-1.46,-1.48,-2.32,-2.34,1.5705882352941178,0.5531453362255965,0.8687635574837311,0.6293103448275862,0.6324786324786326,-2.5303330600000007,-3.076992080000003,-7.00838179000003,-2.5303331468620374,-1.0944533775707237,0.8145175879610062,0.0869328039854952,0.4767999173605045,-2.847077729734469,5.700526061695872,6.531525574217345,11.769320157021456,204.28,173.83,74.72999999999999,257.54,248.9,84.92999999999999,118.68,112.51,273.21,0.4910923113130524,0.8508017129724678,3.2447960570975214,0.846539775221091
CeSmS3,Sm,Ce,S,3.0,3.0,-2.0,1.17,1.12,2.58,1.09,184.4,164.0,101.03,-1.41,-1.46,-2.27,-2.32,1.623280213797882,0.547885032537961,0.8893709327548807,0.6211453744493393,0.6293103448275862,-2.519165209999997,-2.5303330600000007,-7.00838179000003,-2.5191652964786626,-2.5303331468620374,0.8145175879610062,0.530550865217543,0.0869328039854952,-2.847077729734469,5.94376524505028,5.700526061695872,11.769320157021456,194.74,204.28,74.72999999999999,267.86,257.54,84.92999999999999,115.12,118.68,273.21,0.4163832698635672,0.863106972400762,2.877530797332936,0.8519086138788765
CeSmSe3,Sm,Ce,Se,3.0,3.0,-2.0,1.17,1.12,2.55,1.0719999999999998,198.14,164.0,101.03,-1.38,-1.4299999999999995,-2.27,-2.32,1.623280213797882,0.5098919955586959,0.8276975875643485,0.6079295154185022,0.6163793103448275,-2.519165209999997,-2.5303330600000007,-6.510488250000024,-2.5191652964786626,-2.5303331468620374,-0.2111875472497096,0.530550865217543,0.0869328039854952,-2.730814399751447,5.94376524505028,5.700526061695872,10.84576444731508,194.74,204.28,79.97,267.86,257.54,95.78,115.12,118.68,23.97,0.4408204537806806,0.8559424233025288,3.0135300054889287,0.844208515586512
CeYS3,Ce,Y,S,3.0,3.0,-2.0,1.12,1.22,2.58,1.08,184.4,160.20000000000002,101.0,-1.46,-1.36,-2.32,-2.22,1.5861386138613862,0.5477223427331886,0.8687635574837311,0.6293103448275862,0.6126126126126127,-2.5303330600000007,-2.518776380000004,-7.00838179000003,-2.5303331468620374,-2.5187764664653174,0.8145175879610062,0.0869328039854952,0.1564045493718278,-2.847077729734469,5.700526061695872,6.250735714575128,11.769320157021456,204.28,178.5,74.72999999999999,257.54,235.81,84.92999999999999,118.68,94.26,273.21,0.4711248104128561,0.8537827981615793,3.140916799513671,0.8770540077970684
CeYSe3,Ce,Y,Se,3.0,3.0,-2.0,1.12,1.22,2.55,1.062,198.14,160.20000000000002,101.0,-1.4299999999999995,-1.3299999999999998,-2.32,-2.22,1.5861386138613862,0.5097405874634098,0.8085192288281015,0.6163793103448275,0.5990990990990991,-2.5303330600000007,-2.518776380000004,-6.510488250000024,-2.5303331468620374,-2.5187764664653174,-0.2111875472497096,0.0869328039854952,0.1564045493718278,-2.730814399751447,5.700526061695872,6.250735714575128,10.84576444731508,204.28,178.5,79.97,257.54,235.81,95.78,118.68,94.26,23.97,0.4926430277247809,0.847045805450233,3.276956403474067,0.8714777074093563
