material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,A,B,X,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X
RbCrF3,1.0,172.2,80.17,133.15,1,2,-1,0.82,1.66,3.98,0.6015037593984962,1.2932330827067668,-3.16,-2.3200000000000003,-2.62,-1.78,1.2061068702290076,1.303370786516854,0.7654678421395714,Rb,Cr,F,-2.23129531,-4.38888821,-11.111416699999976,-0.6626547127478113,-4.388888360663078,1.1366816190203481,-0.5654554674099543,-1.078476583023451,-4.336301480858267,4.153592876586776,7.228119012129165,19.391595983680425,231.42,142.45999999999998,40.44,324.0,198.93,37.4,240.09999999999997,43.95,143.19
SnNbS3,0.0,115.87,67.89,184.4,2,4,-2,1.96,1.6,2.58,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-0.98,-1.48,-1.84,0.41891891891891897,0.5326086956521738,0.5254244231871432,Sn,Nb,S,-3.6934392700000016,-4.453728150000003,-7.00838179000003,-3.693439396789498,-4.45372830288892,0.8145175879610062,-1.0130803347838757,-1.1054994379504735,-2.847077729734469,6.875250052003975,7.135067946929306,11.769320157021456,106.59,158.34,74.72999999999999,135.54,209.16,84.92999999999999,46.940000000000005,77.56,273.21
CsMnBr3,0.0,188.28,82.83,195.56,1,2,-1,0.79,1.55,2.96,0.423469387755102,0.9591836734693876,-2.17,-1.41,-2.65,-1.89,0.8188679245283019,0.746031746031746,0.8176013550333515,Cs,Mn,Br,-2.0859241200000014,-4.411136790000002,-7.858438990000018,-0.47924297645159664,-0.936468712147378,0.05511027189184196,-0.5452966317296846,-1.152247272554489,-3.6781509272527466,3.8635765556284616,7.312724883033412,12.554312316975999,253.57,40.830000000000005,75.14,319.04,205.42,88.34,202.25,137.51,22.81
PrYbS3,0.0,130.43,86.89,184.4,3,3,-2,1.13,1.1,2.58,0.4717391304347826,0.6407608695652174,-1.4500000000000002,-1.48,-2.31,-2.34,0.6277056277056278,0.6324786324786326,0.3062301858770208,Pr,Yb,S,-2.320982129999998,-3.076992080000003,-7.00838179000003,-2.320982209675374,-1.0944533775707237,0.8145175879610062,0.11525855498472169,0.47679991736050453,-2.847077729734469,5.700078313684422,6.531525574217345,11.769320157021456,201.97,173.83,74.72999999999999,271.35,248.89999999999998,84.92999999999999,117.97999999999999,112.50999999999999,273.21
TlCdCl3,1.0,169.89,95.14,180.61,1,2,-1,1.62,1.69,3.16,0.5248618784530387,0.9392265193370164,-1.54,-1.4700000000000002,-1.82,-1.75,0.8461538461538461,0.8400000000000001,0.581921545449721,Tl,Cd,Cl,-2.36925177,-5.657022910000005,-8.594666479999974,-2.3692518513323906,-1.1571185497219154,0.019723560677076313,-0.13956498682436352,0.9482623915387753,-3.9352299810896123,5.166986943295928,9.27193000127873,13.876021229339663,109.74,123.55,67.85000000000001,154.46,179.66,75.67,59.04,51.92,224.95000000000002
KSmCl3,0.0,164.19,118.88,180.61,1,2,-1,0.82,1.17,3.16,0.6740331491712707,0.9060773480662982,-2.3400000000000003,-1.99,-2.62,-2.27,0.8931297709923665,0.8766519823788547,0.2958453830909418,K,Sm,Cl,-2.318921259999999,-2.5191652099999975,-8.594666479999974,-0.7664318763103054,-2.5191652964786626,0.019723560677076313,-0.6361622968393374,0.530550865217543,-3.9352299810896123,4.31357484707873,5.94376524505028,13.876021229339663,220.49,194.73999999999998,67.85000000000001,302.81,267.86,75.67,207.79999999999998,115.12,224.95000000000002
LiBeCl3,0.0,115.93,44.95,180.61,1,2,-1,0.98,1.57,3.16,0.2486187845303867,0.5082872928176796,-2.18,-1.59,-2.46,-1.87,0.8861788617886179,0.8502673796791443,0.7151260872787205,Li,Be,Cl,-2.8741409099999977,-5.60966653,-8.594666479999974,-1.0207578250408813,-2.0137775391295594,0.019723560677076313,-0.7561139179561087,0.6486211812660797,-3.9352299810896123,5.297381732850112,9.553745681963834,13.876021229339663,165.76,108.05000000000001,67.85000000000001,201.34,120.39999999999999,75.67,674.19,289.74,224.95000000000002
CeLuS3,0.0,133.42,85.75,184.4,3,3,-2,1.12,1.27,2.58,0.4679347826086956,0.7282608695652174,-1.46,-1.31,-2.32,-2.17,0.6293103448275862,0.6036866359447005,0.44233038851722634,Ce,Lu,S,-2.5303330600000007,-1.7533157500000005,-7.00838179000003,-2.5303331468620374,-1.7533158101883548,0.8145175879610062,0.0869328039854952,0.3090144625889975,-2.847077729734469,5.7005260616958715,5.26002856955933,11.769320157021456,204.28,162.29,74.72999999999999,257.54,232.06,84.92999999999999,118.67999999999999,97.53,273.21
SrHfS3,1.0,144.48,70.83,184.4,2,4,-2,0.95,1.3,2.58,0.3858695652173912,0.7826086956521738,-1.63,-1.28,-2.49,-2.14,0.6546184738955823,0.5981308411214953,0.7071334225346851,Sr,Hf,S,-3.5257832000000016,-2.693665829999998,-7.00838179000003,-1.2811882639810177,-2.6936659224689756,0.8145175879610062,0.15058605716674303,0.18457353533323026,-2.847077729734469,5.884929518021573,6.50368793830198,11.769320157021456,195.84,153.65,74.72999999999999,254.93,213.77,84.92999999999999,111.21,89.50999999999999,273.21
SmYbSe3,0.0,123.78,86.89,198.14,3,3,-2,1.17,1.1,2.55,0.4383838383838384,0.6262626262626263,-1.38,-1.4499999999999995,-2.27,-2.34,0.6079295154185022,0.6196581196581195,0.3566749439387324,Sm,Yb,Se,-2.5191652099999975,-3.076992080000003,-6.510488250000024,-2.5191652964786626,-1.0944533775707237,-0.21118754724970967,0.530550865217543,0.47679991736050453,-2.730814399751447,5.94376524505028,6.531525574217345,10.84576444731508,194.73999999999998,173.83,79.97,267.86,248.89999999999998,95.78,115.12,112.50999999999999,23.97
KCoI3,0.0,164.19,74.25,219.49,1,2,-1,0.82,1.88,2.66,0.3386363636363636,0.7454545454545454,-1.8400000000000003,-0.7800000000000002,-2.62,-1.56,0.7022900763358779,0.5000000000000001,0.7890673024386846,K,Co,I,-2.318921259999999,-4.433222810000001,-7.083940510000032,-0.7664318763103054,0.1435549649279978,0.2908709899851069,-0.6361622968393374,-1.3590473276566433,-3.4344351648747526,4.31357484707873,7.672566418386976,11.131355946143177,220.49,128.78,90.24000000000001,302.81,161.4,107.49,207.79999999999998,35.82,41.190000000000005
RbFeF3,1.0,172.2,78.4,133.15,1,2,-1,0.82,1.83,3.98,0.5864661654135338,1.2932330827067668,-3.16,-2.15,-2.62,-1.61,1.2061068702290076,1.3354037267080745,0.7907856501238612,Rb,Fe,F,-2.23129531,-4.431945739999999,-11.111416699999976,-0.6626547127478113,-0.812293287884647,1.1366816190203481,-0.5654554674099543,-1.3037382507616442,-4.336301480858267,4.153592876586776,7.470426106445764,19.391595983680425,231.42,133.01,40.44,324.0,193.65,37.4,240.09999999999997,38.15,143.19
KNiF3,1.0,164.19,69.57,133.15,1,2,-1,0.82,1.91,3.98,0.5187969924812029,1.2330827067669172,-3.16,-2.0700000000000003,-2.62,-1.53,1.2061068702290076,1.3529411764705883,0.865759923226939,K,Ni,F,-2.318921259999999,-4.439555410000002,-11.111416699999976,-0.7664318763103054,-4.4395555624023935,1.1366816190203481,-0.6361622968393374,-1.3513871613897686,-4.336301480858267,4.31357484707873,7.898771670150475,19.391595983680425,220.49,125.16999999999999,40.44,302.81,156.73999999999998,37.4,207.79999999999998,33.809999999999995,143.19
NdLuS3,0.0,127.64,85.75,184.4,3,3,-2,1.14,1.27,2.58,0.4679347826086956,0.6902173913043478,-1.4400000000000002,-1.31,-2.3,-2.17,0.6260869565217393,0.6036866359447005,0.38867767502490636,Nd,Lu,S,-2.1210724900000018,-1.7533157500000005,-7.00838179000003,-2.1210725628128135,-1.7533158101883548,0.8145175879610062,0.35862482534145484,0.3090144625889975,-2.847077729734469,5.776794692320843,5.26002856955933,11.769320157021456,200.25,162.29,74.72999999999999,272.22,232.06,84.92999999999999,117.44000000000001,97.53,273.21
BaTaS3,0.0,161.04,68.04,184.4,2,4,-2,0.89,1.5,2.58,0.3695652173913044,0.875,-1.69,-1.08,-2.55,-1.94,0.6627450980392157,0.5567010309278351,0.8618966598083562,Ba,Ta,S,-3.2293497700000002,-3.5963150900000027,-7.00838179000003,-2.0224315294266337,-3.5963152134553904,0.8145175879610062,0.18154870422262356,-0.28250510470295576,-2.847077729734469,5.363406047114364,7.686524689847838,11.769320157021456,219.67000000000002,146.65,74.72999999999999,266.14000000000004,204.33,84.92999999999999,131.01,83.7,273.21
KVF3,1.0,164.19,79.35,133.15,1,2,-1,0.82,1.63,3.98,0.5939849624060151,1.2330827067669172,-3.16,-2.35,-2.62,-1.81,1.2061068702290076,1.298342541436464,0.7304185753571771,K,V,F,-2.318921259999999,-4.348428499999998,-11.111416699999976,-0.7664318763103054,-4.348428649274164,1.1366816190203481,-0.6361622968393374,-0.78074486180114,-4.336301480858267,4.31357484707873,7.169663669121636,19.391595983680425,220.49,148.18,40.44,302.81,205.66,37.4,207.79999999999998,47.59,143.19
BaTiSe3,0.0,161.04,60.28,198.14,2,4,-2,0.89,1.54,2.55,0.3055555555555555,0.8131313131313131,-1.6599999999999997,-1.0099999999999998,-2.55,-1.9,0.6509803921568627,0.5315789473684209,0.9787609999476672,Ba,Ti,Se,-3.2293497700000002,-4.219539480000003,-6.510488250000024,-2.0224315294266337,-4.219539624849625,-0.21118754724970967,0.18154870422262356,-0.3138992857783973,-2.730814399751447,5.363406047114364,7.119307230391988,10.84576444731508,219.67000000000002,154.67,79.97,266.14000000000004,206.03,95.78,131.01,51.94,23.97
KNiCl3,0.0,164.19,69.57,180.61,1,2,-1,0.82,1.91,3.16,0.3812154696132596,0.9060773480662982,-2.3400000000000003,-1.2500000000000002,-2.62,-1.53,0.8931297709923665,0.8169934640522877,0.865759923226939,K,Ni,Cl,-2.318921259999999,-4.439555410000002,-8.594666479999974,-0.7664318763103054,-4.4395555624023935,0.019723560677076313,-0.6361622968393374,-1.3513871613897686,-3.9352299810896123,4.31357484707873,7.898771670150475,13.876021229339663,220.49,125.16999999999999,67.85000000000001,302.81,156.73999999999998,75.67,207.79999999999998,33.809999999999995,224.95000000000002
PbNaCl3,0.0,149.22,102.87,180.61,2,1,-1,2.33,0.93,3.16,0.56353591160221,0.8232044198895028,-0.8300000000000001,-2.23,-1.11,-2.51,0.7477477477477478,0.8884462151394423,0.37897349266118785,Pb,Na,Cl,-3.4960777300000014,-2.7445312200000007,-8.594666479999974,-3.4960778500144083,-2.7445313142150973,0.019723560677076313,-0.8830451593257576,-0.7570217149871556,-3.9352299810896123,6.576348032711487,5.147636303709317,13.876021229339663,103.96,175.88,67.85000000000001,140.49,260.21000000000004,75.67,56.76,845.6800000000001,224.95000000000002
NaVF3,1.0,139.25,79.35,133.15,1,2,-1,0.93,1.63,3.98,0.5939849624060151,1.045112781954887,-3.05,-2.35,-2.51,-1.81,1.2151394422310757,1.298342541436464,0.5650260806636702,Na,V,F,-2.7445312200000007,-4.348428499999998,-11.111416699999976,-2.7445313142150973,-4.348428649274164,1.1366816190203481,-0.7570217149871556,-0.78074486180114,-4.336301480858267,5.147636303709317,7.169663669121636,19.391595983680425,175.88,148.18,40.44,260.21000000000004,205.66,37.4,845.6800000000001,47.59,143.19
SnVS3,0.0,115.87,58.44,184.4,2,4,-2,1.96,1.63,2.58,0.3152173913043478,0.6249999999999999,-0.6200000000000001,-0.9500000000000002,-1.48,-1.81,0.41891891891891897,0.5248618784530388,0.6844891178168307,Sn,V,S,-3.6934392700000016,-4.348428499999998,-7.00838179000003,-3.693439396789498,-4.348428649274164,0.8145175879610062,-1.0130803347838757,-0.78074486180114,-2.847077729734469,6.875250052003975,7.169663669121636,11.769320157021456,106.59,148.18,74.72999999999999,135.54,205.66,84.92999999999999,46.940000000000005,47.59,273.21
SnTaS3,0.0,115.87,68.04,184.4,2,4,-2,1.96,1.5,2.58,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-1.08,-1.48,-1.94,0.41891891891891897,0.5567010309278351,0.5254244231871432,Sn,Ta,S,-3.6934392700000016,-3.5963150900000027,-7.00838179000003,-3.693439396789498,-3.5963152134553904,0.8145175879610062,-1.0130803347838757,-0.28250510470295576,-2.847077729734469,6.875250052003975,7.686524689847838,11.769320157021456,106.59,146.65,74.72999999999999,135.54,204.33,84.92999999999999,46.940000000000005,83.7,273.21
KCoBr3,0.0,164.19,74.25,195.56,1,2,-1,0.82,1.88,2.96,0.3801020408163265,0.836734693877551,-2.14,-1.08,-2.62,-1.56,0.816793893129771,0.6923076923076923,0.7890673024386846,K,Co,Br,-2.318921259999999,-4.433222810000001,-7.858438990000018,-0.7664318763103054,0.1435549649279978,0.05511027189184196,-0.6361622968393374,-1.3590473276566433,-3.6781509272527466,4.31357484707873,7.672566418386976,12.554312316975999,220.49,128.78,75.14,302.81,161.4,88.34,207.79999999999998,35.82,22.81
RbCoF3,1.0,172.2,74.25,133.15,1,2,-1,0.82,1.88,3.98,0.5601503759398496,1.2932330827067668,-3.16,-2.1,-2.62,-1.56,1.2061068702290076,1.3461538461538463,0.8366953514279392,Rb,Co,F,-2.23129531,-4.433222810000001,-11.111416699999976,-0.6626547127478113,0.1435549649279978,1.1366816190203481,-0.5654554674099543,-1.3590473276566433,-4.336301480858267,4.153592876586776,7.672566418386976,19.391595983680425,231.42,128.78,40.44,324.0,161.4,37.4,240.09999999999997,35.82,143.19
HoScS3,1.0,118.33,74.11,184.4,3,3,-2,1.23,1.36,2.58,0.404891304347826,0.6086956521739131,-1.35,-1.22,-2.21,-2.08,0.6108597285067874,0.5865384615384615,0.40769974590958075,Ho,Sc,S,-3.2008237100000025,-3.2357286599999986,-7.00838179000003,-1.1351101489664033,-3.2357287710770692,0.8145175879610062,0.36363874046702527,0.27533029145358084,-2.847077729734469,6.258815168820546,6.884657007341072,11.769320157021456,27.71,165.06,74.72999999999999,111.73,217.73999999999998,84.92999999999999,256.24,58.09,273.21
RbTmI3,1.0,172.2,102.92,219.49,1,2,-1,0.82,1.25,2.66,0.4681818181818181,0.7818181818181817,-1.8400000000000003,-1.41,-2.62,-2.19,0.7022900763358779,0.6438356164383562,0.5127654885838172,Rb,Tm,I,-2.23129531,-3.153999099999999,-7.083940510000032,-0.6626547127478113,-1.0724057668138653,0.2908709899851069,-0.5654554674099543,0.5222435779285232,-3.4344351648747526,4.153592876586776,6.424661898518719,11.131355946143177,231.42,176.24,90.24000000000001,324.0,254.47,107.49,240.09999999999997,111.95,41.190000000000005
BaVS3,0.0,161.04,58.44,184.4,2,4,-2,0.89,1.63,2.58,0.3152173913043478,0.875,-1.69,-0.9500000000000002,-2.55,-1.81,0.6627450980392157,0.5248618784530388,1.0209613544380438,Ba,V,S,-3.2293497700000002,-4.348428499999998,-7.00838179000003,-2.0224315294266337,-4.348428649274164,0.8145175879610062,0.18154870422262356,-0.78074486180114,-2.847077729734469,5.363406047114364,7.169663669121636,11.769320157021456,219.67000000000002,148.18,74.72999999999999,266.14000000000004,205.66,84.92999999999999,131.01,47.59,273.21
LiNiCl3,0.0,115.93,69.57,180.61,1,2,-1,0.98,1.91,3.16,0.3812154696132596,0.5082872928176796,-2.18,-1.2500000000000002,-2.46,-1.53,0.8861788617886179,0.8169934640522877,0.2876820724517812,Li,Ni,Cl,-2.8741409099999977,-4.439555410000002,-8.594666479999974,-1.0207578250408813,-4.4395555624023935,0.019723560677076313,-0.7561139179561087,-1.3513871613897686,-3.9352299810896123,5.297381732850112,7.898771670150475,13.876021229339663,165.76,125.16999999999999,67.85000000000001,201.34,156.73999999999998,75.67,674.19,33.809999999999995,224.95000000000002
