material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,rA_rB_ratio,t_sisso_291,t,tau,t_jess,t_sisso_5,t_sisso_219,t_sisso_55,t_sisso_14,t_sisso_37,t_sisso_124,t_sisso_58,t_sisso_39,t_sisso_212,t_sisso_223,t_sisso_51,t_sisso_46,t_sisso_181,t_sisso_23,t_sisso_177,t_sisso_33,t_sisso_10,p_t_sisso_5,p_t_sisso_219,p_t_sisso_55,p_t_sisso_14,p_t_sisso_124,p_t_sisso_39,p_t_sisso_23,p_t_sisso_177,p_t_sisso_33,p_t_sisso_10
TlMnCl3,1.0,169.89,82.83,180.61,1.0,2.0,-1.0,1.62,1.55,3.16,0.4585635359116021,0.9392265193370164,-1.54,-1.61,-1.82,-1.89,0.8461538461538461,0.851851851851852,0.7169578292536637,-2.36925177,-4.411136790000002,-8.594666479999974,-2.3692518513323906,-0.936468712147378,0.0197235606770763,-0.1395649868243635,-1.152247272554489,-3.935229981089612,5.166986943295928,7.312724883033412,13.876021229339663,109.74,40.830000000000005,67.85000000000001,154.46,205.42,75.67,59.04,137.51,224.95,2.0510684534588917,0.27054717815084783,0.9407893680281751,4.035696484123953,0.9344964625564147,0.8276490044668816,0.27314666175877567,0.8276490044668814,-0.8426851275256357,0.9547589071827987,0.27314666175877567,0.8276490044668814,0.9547589071827987,0.27314666175877567,0.27314666175877567,0.8276490044668814,0.8276490044668814,-1.3367260790585274,0.6295864452006672,-0.818245106178567,0.5773078784772232,0.03294173321111773,0.49513162020039436,0.615107981111021,0.5024152153931599,0.5911397624397714,0.615107981111021,0.2609968834965133,0.9841447474940876,0.7355875661390114,0.8551473658074724,0.55667433863565
KZnF3,1.0,164.19,74.34,133.15,1.0,2.0,-1.0,0.82,1.65,3.98,0.556390977443609,1.2330827067669172,-3.16,-2.33,-2.62,-1.79,1.2061068702290076,1.3016759776536313,0.7958013346200284,-2.318921259999999,-5.977182470000003,-11.111416699999976,-0.7664318763103054,-1.1074028380152596,1.136681619020348,-0.6361622968393374,0.922398193658712,-4.336301480858267,4.31357484707873,9.889346728482574,19.391595983680425,220.49,110.68,40.44,302.81,166.61,37.4,207.8,29.97,143.19,2.20863599677159,0.38241045882963887,1.0133098459557097,3.578456555844916,0.9389125925800014,0.15399046451979626,0.40104311823771044,0.15399046451979626,-0.5922807340274299,1.1598421581480671,0.40104311823771044,0.15399046451979626,1.1598421581480671,0.40104311823771044,0.40104311823771044,0.15399046451979626,0.15399046451979626,-0.17494301792124034,0.3344870866900753,-0.6340822004006237,0.5270004223754865,1.0343830855945106,0.9999784976231423,0.9957428150897423,0.9999886861435744,0.9999740084901396,0.9957428150897423,0.9485535785771969,0.9999999789642917,0.981689559905382,0.9999949690085734,0.9999171144327166
CsTmI3,1.0,188.28,102.92,219.49,1.0,2.0,-1.0,0.79,1.25,2.66,0.4681818181818181,0.8545454545454544,-1.87,-1.41,-2.65,-2.19,0.7056603773584906,0.6438356164383562,0.6017129746003133,-2.0859241200000014,-3.153999099999999,-7.083940510000032,-0.4792429764515966,-1.0724057668138651,0.2908709899851069,-0.5452966317296846,0.5222435779285232,-3.4344351648747526,3.8635765556284616,6.424661898518719,11.131355946143175,253.57,176.24,90.24,319.04,254.47,107.49,202.25,111.95,41.190000000000005,1.8293820443062572,0.2330277039518503,0.8943198364836901,4.161514677121664,0.9801975180922403,0.8322283765537319,0.2674258240268811,0.8322283765537319,-0.8237943032203626,1.0206649856426828,0.2674258240268811,0.8322283765537319,1.0206649856426828,0.2674258240268811,0.2674258240268811,0.8322283765537319,0.8322283765537319,-1.3669798088616183,0.6641330178433265,-0.8146509516900853,0.580120326006232,0.00842663596040164,0.47675713772069556,0.5613598434144416,0.4827389700409796,0.7586020791493236,0.5613598434144416,0.5567368899964198,0.9236200263092927,0.7477895881002561,0.7663026592592962,0.48923182659127845
PrLuSe3,0.0,130.43,85.75,198.14,3.0,3.0,-2.0,1.13,1.27,2.55,0.4348484848484849,0.5954545454545455,-1.42,-1.2799999999999998,-2.31,-2.17,0.6147186147186147,0.5898617511520736,0.3143273961096401,-2.320982129999998,-1.7533157500000005,-6.510488250000024,-2.320982209675374,-1.7533158101883548,-0.2111875472497096,0.1152585549847216,0.3090144625889975,-2.730814399751447,5.700078313684422,5.26002856955933,10.84576444731508,201.97,162.29,79.97,271.35,232.06,95.78,117.98,97.53,23.97,1.5210495626822158,0.11099532478890911,0.8183967745972105,4.1908378835717635,0.8528841386782483,0.9396961137826714,0.14487242608469172,0.9396961137826715,-0.8783074076037296,0.6301029484685229,0.14487242608469172,0.9396961137826715,0.6301029484685229,0.14487242608469172,0.14487242608469172,0.9396961137826715,0.9396961137826715,-1.8647173794374092,0.7063068608758467,-0.9566779719556842,0.5893112034164,-0.07367224679249373,0.13870921701048075,0.009403999103505286,0.12724077914512633,0.2514514761505662,0.009403999103505286,0.0006712408440166644,0.6217464290776679,0.20468283493195708,0.32673832928899643,0.2797362917135693
LiZnF3,0.0,115.93,74.34,133.15,1.0,2.0,-1.0,0.98,1.65,3.98,0.556390977443609,0.6917293233082706,-3.0,-2.33,-2.46,-1.79,1.2195121951219512,1.3016759776536313,0.2177234838448705,-2.8741409099999977,-5.977182470000003,-11.111416699999976,-1.0207578250408813,-1.1074028380152596,1.136681619020348,-0.7561139179561087,0.922398193658712,-4.336301480858267,5.297381732850112,9.889346728482574,19.391595983680425,165.76,110.68,40.44,201.34,166.61,37.4,674.19,29.97,143.19,1.5594565509819747,0.10462377195541957,0.8488438031568176,4.300717534427048,0.7952634814459874,1.255802606240425,0.11941951366352928,1.255802606240425,-1.3416278772240684,0.6701983285797413,0.11941951366352928,1.255802606240425,0.6701983285797413,0.11941951366352928,0.11941951366352928,1.255802606240425,1.255802606240425,-3.8493255931807098,0.8328647427278026,-1.9150366613718788,0.6370045347857518,-1.774689180956842,0.0009723440656169167,0.0034161669467340674,0.0006287860071750233,3.5323438921444053e-09,0.0034161669467340674,0.0014545088449083813,0.004766576085501102,8.586794481610898e-07,2.7321260176022902e-05,1.4074342490005322e-07
KMgI3,0.0,164.19,72.45,219.49,1.0,2.0,-1.0,0.82,1.31,2.66,0.3272727272727272,0.7454545454545454,-1.8400000000000003,-1.35,-2.62,-2.13,0.7022900763358779,0.6338028169014085,0.8232003088081431,-2.318921259999999,-4.705333049999998,-7.083940510000032,-0.7664318763103054,-1.3065628048520797,0.2908709899851069,-0.6361622968393374,0.500356888176296,-3.4344351648747526,4.31357484707873,7.971349299642951,11.131355946143175,220.49,135.17999999999998,90.24,302.81,191.16,107.49,207.8,561.2099999999999,41.190000000000005,2.266252587991718,0.2037711958619692,0.9293122326951793,4.799585363355231,1.0297315528354385,1.3098954418263828,0.046365764411751824,1.1544039151191874,-0.9694060520143047,0.6817847853461868,0.046365764411751824,1.1544039151191874,0.6817847853461868,0.046365764411751824,0.046365764411751824,1.1544039151191874,1.1544039151191874,-1.8493094649295339,0.7471783429688097,-1.031527550999351,0.605916544987285,-0.05769009814201274,0.00040671918244569467,0.00018963616226497592,0.0035687777173749186,0.008222671255265478,0.00018963616226497592,0.0018184790083191516,0.1978677121921426,0.07827262752146273,0.0156477968546945,0.3159641894716954
NaCdI3,0.0,139.25,95.14,219.49,1.0,2.0,-1.0,0.93,1.69,2.66,0.4318181818181817,0.6318181818181817,-1.73,-0.9700000000000002,-2.51,-1.75,0.6892430278884463,0.5542857142857144,0.3805970415301508,-2.7445312200000007,-5.657022910000005,-7.083940510000032,-2.7445313142150973,-1.1571185497219154,0.2908709899851069,-0.7570217149871556,0.9482623915387752,-3.4344351648747526,5.147636303709317,9.27193000127873,11.131355946143175,175.88,123.55,90.24,260.21000000000004,179.66,107.49,845.6800000000001,51.92,41.190000000000005,1.4636325415177633,0.13322678989465156,0.8062426522179503,5.149369255324295,1.0025463628331392,0.8626393408890827,0.17210375693650132,0.8626393408890827,-0.8273581266720808,0.7823473110306782,0.17210375693650132,0.8626393408890827,0.7823473110306782,0.17210375693650132,0.17210375693650132,0.8626393408890827,0.8626393408890827,-1.5617189958923376,0.6969878766097308,-0.847286480817627,0.5838520405546022,0.04380145032301766,0.3584220392377809,0.02760800075950996,0.355958599509197,0.7307615326772812,0.02760800075950996,0.012538389477890955,0.7181688074941337,0.6232793887680249,0.6008715582413902,0.5858608264239039
NaMgF3,1.0,139.25,72.45,133.15,1.0,2.0,-1.0,0.93,1.31,3.98,0.5413533834586466,1.045112781954887,-3.05,-2.67,-2.51,-2.13,1.2151394422310755,1.2535211267605637,0.6578078141146367,-2.7445312200000007,-4.705333049999998,-11.111416699999976,-2.7445313142150973,-1.3065628048520797,1.136681619020348,-0.7570217149871556,0.500356888176296,-4.336301480858267,5.147636303709317,7.971349299642951,19.391595983680425,175.88,135.17999999999998,40.44,260.21000000000004,191.16,37.4,845.6800000000001,561.2099999999999,143.19,1.922015182884748,0.30545701084410415,0.936850060270687,3.779495109408802,0.9081645577313989,0.5613849490487555,0.3463459805154973,0.5613849490487555,-0.7634777567229731,1.2006190691850986,0.3463459805154973,0.5613849490487555,1.2006190691850986,0.3463459805154973,0.3463459805154973,0.5613849490487555,0.5613849490487555,-0.5009602097085304,0.5568480645329434,-0.7321329497457985,0.5597162954077628,0.5077431877024794,0.9858391084596799,0.9650025677153075,0.9894731921690384,0.9739979579926556,0.9650025677153075,0.9759477874201292,0.9994662417769574,0.922794318383116,0.9956996994771011,0.9920344947123492
NaCaI3,0.0,139.25,99.98,219.49,1.0,2.0,-1.0,0.93,1.0,2.66,0.4545454545454545,0.6318181818181817,-1.73,-1.66,-2.51,-2.44,0.6892430278884463,0.680327868852459,0.3293037471426003,-2.7445312200000007,-3.766160950000002,-7.083940510000032,-2.7445313142150973,-1.9458476867976409,0.2908709899851069,-0.7570217149871556,0.1499954621481116,-3.4344351648747526,5.147636303709317,6.309260154585895,11.131355946143175,175.88,179.84,90.24,260.21000000000004,231.02,107.49,845.6800000000001,67.61,41.190000000000005,1.392778555711142,0.122904652025759,0.794028001588048,5.399309967385937,0.8044331110026085,0.9593871807311787,0.15829265037369128,0.9593871807311787,-0.9158134824702648,0.6725389953136396,0.15829265037369128,0.9593871807311787,0.6725389953136396,0.15829265037369128,0.15829265037369128,0.9593871807311787,0.9593871807311787,-1.9525125441794495,0.720577821714985,-0.9761349270735276,0.5927054084761396,-0.17338726830900308,0.1048457285788566,0.016016884042941083,0.09393603469093448,0.06785619415411741,0.016016884042941083,0.0015216441067563205,0.45772206692379064,0.1603429351050681,0.1941542044850871,0.12109239034045503
SmYbSe3,0.0,123.78,86.89,198.14,3.0,3.0,-2.0,1.17,1.1,2.55,0.4383838383838384,0.6262626262626263,-1.38,-1.4499999999999995,-2.27,-2.34,0.6079295154185022,0.6196581196581195,0.3566749439387324,-2.519165209999997,-3.076992080000003,-6.510488250000024,-2.5191652964786626,-1.0944533775707237,-0.2111875472497096,0.530550865217543,0.4767999173605045,-2.730814399751447,5.94376524505028,6.531525574217345,10.84576444731508,194.74,173.83,79.97,267.86,248.9,95.78,115.12,112.51,23.97,1.4245597882380021,0.12723036418157604,0.7986260688369334,5.35757427410643,0.7835100414668772,0.9007321027551217,0.16482388169985204,0.9007321027551216,-0.8661904883072254,0.7151631116680379,0.16482388169985204,0.9007321027551216,0.7151631116680379,0.16482388169985204,0.16482388169985204,0.9007321027551216,0.9007321027551216,-1.7408976802538474,0.704320443990631,-0.8879224587217258,0.5866628023869427,-0.0489037355205781,0.23210293976332685,0.02073351851759446,0.22250045110458164,0.355446271354315,0.02073351851759446,0.0034583781918588693,0.6434152971228364,0.44520076924541363,0.45639843352474424,0.3370715841560062
