,material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,rA_rB_ratio,t_sisso_57,t,tau,t_jess,p_t_sisso_57,dataset
179,NaCdBr3,0.0,139.25,95.14,195.56,1.0,2.0,-1.0,0.93,1.69,2.96,0.4846938775510204,0.7091836734693877,-2.03,-1.27,-2.51,-1.75,0.8087649402390438,0.7257142857142858,0.3805970415301508,-2.7445312200000007,-5.657022910000005,-7.858438990000018,-2.7445313142150973,-1.1571185497219154,0.0551102718918419,-0.7570217149871556,0.9482623915387752,-3.6781509272527466,5.147636303709317,9.27193000127873,12.554312316976,175.88,123.55,75.14,260.21000000000004,179.66,88.34,845.6800000000001,51.92,22.81,1.4636325415177631,5.254901593452246,0.8144032259017482,4.89784518553241,0.9076034319465318,0.0428478741123581,train
180,NdLuSe3,0.0,127.64,85.75,198.14,3.0,3.0,-2.0,1.14,1.27,2.55,0.4348484848484849,0.6414141414141414,-1.41,-1.2799999999999998,-2.3,-2.17,0.6130434782608696,0.5898617511520736,0.3886776750249063,-2.1210724900000018,-1.7533157500000005,-6.510488250000024,-2.121072562812813,-1.7533158101883548,-0.2111875472497096,0.3586248253414548,0.3090144625889975,-2.730814399751447,5.776794692320843,5.26002856955933,10.84576444731508,200.25,162.29,79.97,272.22,232.06,95.78,117.44,97.53,23.97,1.4885131195335275,5.145651856314725,0.811447488292538,4.536888580036978,0.8433375950844698,0.0609147817383228,train
181,SrZrSe3,0.0,144.48,72.07,198.14,2.0,4.0,-2.0,0.95,1.33,2.55,0.3636363636363636,0.7272727272727273,-1.6,-1.2199999999999998,-2.49,-2.11,0.642570281124498,0.5781990521327013,0.6931471805599453,-3.5257832000000016,-3.6022224400000007,-6.510488250000024,-1.2811882639810177,-3.602222563658176,-0.2111875472497096,0.150586057166743,-0.2714066713124998,-2.730814399751447,5.884929518021573,7.139550537079975,10.84576444731508,195.84,166.94,79.97,254.93,222.0,95.78,111.21,84.44,23.97,2.0047176356320247,5.500000000000001,0.8965972230554277,4.514069103590163,0.9964159013217212,0.0191862281876098,train
182,NdScS3,1.0,127.64,74.11,184.4,3.0,3.0,-2.0,1.14,1.36,2.58,0.404891304347826,0.6902173913043478,-1.4400000000000002,-1.22,-2.3,-2.08,0.6260869565217393,0.5865384615384615,0.5333879610730774,-2.1210724900000018,-3.2357286599999986,-7.00838179000003,-2.121072562812813,-3.235728771077069,0.8145175879610062,0.3586248253414548,0.2753302914535808,-2.847077729734469,5.776794692320843,6.884657007341072,11.769320157021456,200.25,165.06,74.72999999999999,272.22,217.74,84.92999999999999,117.44,58.09,273.21,1.7223046822291188,4.9395973154362425,0.853530446807863,2.992078820262473,0.9110813949675384,0.1158223015447617,train
183,SrZrS3,1.0,144.48,72.07,184.4,2.0,4.0,-2.0,0.95,1.33,2.58,0.3913043478260869,0.7826086956521738,-1.63,-1.25,-2.49,-2.11,0.6546184738955823,0.5924170616113744,0.6931471805599453,-3.5257832000000016,-3.6022224400000007,-7.00838179000003,-1.2811882639810177,-3.602222563658176,0.8145175879610062,0.150586057166743,-0.2714066713124998,-2.847077729734469,5.884929518021573,7.139550537079975,11.769320157021456,195.84,166.94,74.72999999999999,254.93,222.0,84.92999999999999,111.21,84.44,273.21,2.0047176356320247,5.111111111111112,0.906748797109756,4.323421122460706,1.001953779244846,0.0679938282069216,train
184,LaErS3,0.0,136.19,88.98,184.4,3.0,3.0,-2.0,1.1,1.24,2.58,0.483695652173913,0.7391304347826088,-1.48,-1.34,-2.34,-2.2,0.6324786324786326,0.6090909090909091,0.4240185160039122,-2.778124050000001,-3.1956924299999976,-7.00838179000003,-2.7781241453682792,-1.116046528311978,0.8145175879610062,-0.2216918666232401,0.3640982624916961,-2.847077729734469,5.8114999284947535,6.339470940626883,11.769320157021456,205.43,26.96,74.72999999999999,267.61,255.11,84.92999999999999,119.73,111.71,273.21,1.5305686671162058,4.716775151351048,0.829219160189586,3.860161445713608,0.8610593141909976,0.2196336603206365,train
185,KHgI3,0.0,164.19,103.04,219.49,1.0,2.0,-1.0,0.82,2.0,2.66,0.4636363636363636,0.7454545454545454,-1.8400000000000003,-0.6600000000000001,-2.62,-1.44,0.7022900763358779,0.4583333333333334,0.4748936145399272,-2.318921259999999,-6.807995810000004,-7.083940510000032,-0.7664318763103054,-0.952083492683411,0.2908709899851069,-0.6361622968393374,1.3885838835805904,-3.4344351648747526,4.31357484707873,10.679763451594113,11.131355946143175,220.49,116.75,90.24,302.81,173.51,107.49,207.8,61.58,41.190000000000005,1.593458850931677,4.313725490196078,0.8411726450656701,4.550265553381986,1.28890298425052,0.5302999179752071,train
186,MnLiI3,0.0,120.54,75.66,219.49,2.0,1.0,-1.0,1.55,0.98,2.66,0.3454545454545454,0.4363636363636363,-1.11,-1.6800000000000002,-1.89,-2.46,0.5873015873015874,0.6829268292682927,0.2336148511815051,-4.411136790000002,-2.8741409099999977,-7.083940510000032,-0.936468712147378,-1.0207578250408813,0.2908709899851069,-1.152247272554489,-0.7561139179561087,-3.4344351648747526,7.312724883033412,5.297381732850112,11.131355946143175,40.830000000000005,165.76,90.24,205.42,201.34,107.49,137.51,674.19,41.190000000000005,1.5931800158604283,8.561099561457747,0.8146302709308799,5.742621205416388,0.7005635606588123,9.0656584829934e-07,train
187,CsNiI3,0.0,188.28,69.57,219.49,1.0,2.0,-1.0,0.79,1.91,2.66,0.3136363636363636,0.8545454545454544,-1.87,-0.7500000000000002,-2.65,-1.53,0.7056603773584906,0.4901960784313727,1.0023354582326898,-2.0859241200000014,-4.439555410000002,-7.083940510000032,-0.4792429764515966,-4.4395555624023935,0.2908709899851069,-0.5452966317296846,-1.3513871613897686,-3.4344351648747526,3.8635765556284616,7.898771670150475,11.131355946143175,253.57,125.17,90.24,319.04,156.73999999999998,107.49,202.25,33.809999999999995,41.190000000000005,2.7063389391979302,6.376811594202899,0.997501067185728,4.873260104794403,1.4359498381509863,0.0010537349137825,train
188,AgZnF3,1.0,152.13,74.34,133.15,1.0,2.0,-1.0,1.93,1.65,3.98,0.556390977443609,0.962406015037594,-2.05,-2.33,-1.51,-1.79,1.357615894039735,1.3016759776536313,0.5479651707154475,-4.402160580000001,-5.977182470000003,-11.111416699999976,-0.2462930884548233,-1.1074028380152596,1.136681619020348,-1.4755869046631138,0.922398193658712,-4.336301480858267,7.75596378025508,9.889346728482574,19.391595983680425,132.41000000000005,110.68,40.44,190.44,166.61,37.4,54.86,29.97,143.19,2.0464083938660207,3.649867011417372,0.9722103748377104,3.6488629873146063,1.0139914079148955,0.9154845488264676,train
