,material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rX_rB_ratio,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso,dataset
201,LaYbS3,1.0,1.36,0.868,1.84,3.0,3.0,-2.0,1.1,1.1,2.58,1.566820276497696,0.4717391304347826,0.7391304347826088,-1.48,-1.48,-2.34,-2.34,2.119815668202765,0.6324786324786326,0.6324786324786326,0.4490482640697475,2.521445044182876,0.8355788034003921,3.587422840074601,0.8355788034003921,0.4587341358294438,train
202,TlFeF3,1.0,1.7,0.78,1.33,1.0,2.0,-1.0,1.62,1.83,3.98,2.17948717948718,0.5864661654135338,1.2781954887218043,-2.36,-2.15,-1.82,-1.61,1.7051282051282053,1.2967032967032963,1.3354037267080745,0.7790896103606701,2.0846879355954937,1.015421300475864,3.502607661282436,0.9859940642187812,0.9494924784389664,train
203,CsSrI3,0.0,1.88,1.18,2.2,1.0,2.0,-1.0,0.79,0.95,2.66,1.5932203389830508,0.5363636363636363,0.8545454545454544,-1.87,-1.7100000000000002,-2.65,-2.49,1.8644067796610173,0.7056603773584906,0.6867469879518072,0.4657573383642844,2.555896072994699,0.8535511640534125,4.285115822224593,0.8770584321266479,0.3976813867266275,train
204,KMnCl3,1.0,1.64,0.83,1.81,1.0,2.0,-1.0,0.82,1.55,3.16,1.9759036144578312,0.4585635359116021,0.9060773480662982,-2.3400000000000003,-1.61,-2.62,-1.89,2.180722891566265,0.8931297709923665,0.851851851851852,0.6810258200276005,2.4014040277930424,0.92406232583434,4.082086623087857,0.9688393253603318,0.6687177138766868,train
205,BaHfS3,1.0,1.61,0.71,1.84,2.0,4.0,-2.0,0.89,1.3,2.58,2.267605633802817,0.3858695652173912,0.875,-1.69,-1.28,-2.55,-2.14,2.591549295774649,0.6627450980392157,0.5981308411214953,0.8187244879431476,2.5692171450079027,0.956676290275552,4.130911235466087,1.060023122368432,0.3748084057699652,train
206,SrTiS3,0.0,1.44,0.605,1.84,2.0,4.0,-2.0,0.95,1.54,2.58,2.3801652892561984,0.3288043478260869,0.7826086956521738,-1.63,-1.04,-2.49,-1.9,3.041322314049588,0.6546184738955823,0.5473684210526316,0.8671699345392049,3.019903542876288,0.9485955356230956,4.53082372422236,1.1344610649616644,0.0239297981735972,train
207,CdCuCl3,0.0,1.31,0.77,1.81,2.0,1.0,-1.0,1.69,1.9,3.16,1.7012987012987013,0.425414364640884,0.7237569060773481,-1.4700000000000002,-1.2600000000000002,-1.75,-1.54,2.3506493506493507,0.8400000000000001,0.8181818181818183,0.5313919013474677,3.037509990216368,0.8551080289217269,4.753828236080848,0.8779109096929729,0.0212451228255758,train
208,LaScS3,1.0,1.36,0.745,1.84,3.0,3.0,-2.0,1.1,1.36,2.58,1.8255033557046985,0.404891304347826,0.7391304347826088,-1.48,-1.22,-2.34,-2.08,2.469798657718121,0.6324786324786326,0.5865384615384615,0.6018557603505384,2.4378910744560764,0.8753374853416875,2.5691716768023203,0.9438976162518744,0.608106480592518,train
209,PbNbS3,0.0,1.49,0.68,1.84,2.0,4.0,-2.0,2.33,1.6,2.58,2.191176470588235,0.3695652173913044,0.8097826086956521,-0.25,-0.98,-1.11,-1.84,2.705882352941176,0.2252252252252252,0.5326086956521738,0.7844386007693523,2.6188941051319325,0.9343934574275188,4.292492875266822,0.3951286913188625,0.29503855116888,train
210,PbTiS3,0.0,1.49,0.605,1.84,2.0,4.0,-2.0,2.33,1.54,2.58,2.462809917355372,0.3288043478260869,0.8097826086956521,-0.25,-1.04,-1.11,-1.9,3.041322314049588,0.2252252252252252,0.5473684210526316,0.9013029409086636,3.084984767730437,0.963055833422228,4.5063214959505125,0.3962677762262285,0.0154081328181627,train
