Unnamed: 0,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,rA,rB,rX,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess
SrCeS3,Sr,Ce,S,2.0,4.0,-2.0,0.95,1.12,2.58,144.48,86.8,184.4,-1.63,-1.46,-2.49,-2.32,1.664516129032258,0.4707158351409978,0.7835140997830802,0.6546184738955824,0.6293103448275862,-3.5257832000000016,-2.5303330600000007,-7.00838179000003,-1.2811882639810177,-2.5303331468620374,0.8145175879610062,0.150586057166743,0.0869328039854952,-2.847077729734469,5.884929518021573,5.700526061695872,11.769320157021456,195.84,204.28,74.72999999999999,254.93,257.54,84.92999999999999,111.21,118.68,273.21,0.8120536930464677,0.8574994985056752,4.657902004601537,0.8919844043431429
SrUS3,Sr,U,S,2.0,4.0,-2.0,0.95,1.38,2.58,144.48,88.69,184.4,-1.63,-1.2000000000000002,-2.49,-2.06,1.6290449881610105,0.4809652928416486,0.7835140997830802,0.6546184738955824,0.5825242718446603,-3.5257832000000016,-1.9952727799999996,-7.00838179000003,-1.2811882639810177,-1.9952728484943232,0.8145175879610062,0.150586057166743,0.546861732757815,-2.847077729734469,5.884929518021573,5.590257855882314,11.769320157021456,195.84,187.98,74.72999999999999,254.93,241.76,84.92999999999999,111.21,131.23,273.21,0.7905131713244116,0.8515649199704826,4.755648811767744,0.9569560536401894
SrUSe3,Sr,U,Se,2.0,4.0,-2.0,0.95,1.38,2.55,144.48,88.69,198.14,-1.6,-1.17,-2.49,-2.06,1.6290449881610105,0.4476127990309882,0.7291813868981528,0.6425702811244979,0.5679611650485437,-3.5257832000000016,-1.9952727799999996,-6.510488250000024,-1.2811882639810177,-1.9952728484943232,-0.2111875472497096,0.150586057166743,0.546861732757815,-2.730814399751447,5.884929518021573,5.590257855882314,10.84576444731508,195.84,187.98,79.97,254.93,241.76,95.78,111.21,131.23,23.97,0.8294655829139364,0.8446450358812088,4.910570448930896,0.9556001916261504
CaPrS3,Ca,Pr,S,2.0,4.0,-2.0,1.0,1.13,2.58,133.65,84.98,184.4,-1.58,-1.4500000000000002,-2.44,-2.31,1.5727229936455636,0.4608459869848156,0.7247830802603037,0.6475409836065574,0.6277056277056278,-3.766160950000002,-2.320982129999998,-7.00838179000003,-1.9458476867976409,-2.320982209675374,0.8145175879610062,0.1499954621481116,0.1152585549847216,-2.847077729734469,6.309260154585895,5.700078313684422,11.769320157021456,179.84,201.97,74.72999999999999,231.02,271.35,84.92999999999999,67.61,117.98,273.21,0.8129303743135858,0.8348647942096292,5.116448145082737,0.86124633292999
CaPrSe3,Ca,Pr,Se,2.0,4.0,-2.0,1.0,1.13,2.55,133.65,84.98,198.14,-1.5499999999999998,-1.42,-2.44,-2.31,1.5727229936455636,0.4288886645805996,0.6745230644998487,0.6352459016393442,0.6147186147186147,-3.766160950000002,-2.320982129999998,-6.510488250000024,-1.9458476867976409,-2.320982209675374,-0.2111875472497096,0.1499954621481116,0.1152585549847216,-2.730814399751447,6.309260154585895,5.700078313684422,10.84576444731508,179.84,201.97,79.97,231.02,271.35,95.78,67.61,117.98,23.97,0.8204361480967385,0.8286647001669181,5.278133247459767,0.8563362846189246
CaCeSe3,Ca,Ce,Se,2.0,4.0,-2.0,1.0,1.12,2.55,133.65,86.8,198.14,-1.5499999999999998,-1.4299999999999995,-2.44,-2.32,1.539746543778802,0.43807408902796,0.6745230644998487,0.6352459016393442,0.6163793103448275,-3.766160950000002,-2.5303330600000007,-6.510488250000024,-1.9458476867976409,-2.5303331468620374,-0.2111875472497096,0.1499954621481116,0.0869328039854952,-2.730814399751447,6.309260154585895,5.700526061695872,10.84576444731508,179.84,204.28,79.97,231.02,257.54,95.78,67.61,118.68,23.97,0.8121579973357723,0.8233717621648693,5.417487057667142,0.848574130673183
TbSnS3,Sn,Tb,S,2.0,4.0,-2.0,1.96,1.1,2.58,115.87,76.26,184.4,-0.6200000000000001,-1.48,-1.48,-2.34,1.519407290847102,0.4135574837310195,0.6283622559652928,0.4189189189189189,0.6324786324786326,-3.6934392700000016,-3.0839381900000022,-7.00838179000003,-3.693439396789498,-1.3025399247139844,0.8145175879610062,-1.0130803347838755,0.4848213986217848,-2.847077729734469,6.875250052003975,6.119534423052706,11.769320157021456,106.59,29.39,74.72999999999999,135.54,257.89,84.92999999999999,46.940000000000005,112.45,273.21,0.7985805713912991,0.8145610681543638,5.682368137083485,0.5395202692103501
TbSnSe3,Sn,Tb,Se,2.0,4.0,-2.0,1.96,1.1,2.55,115.87,76.26,198.14,-0.5899999999999999,-1.4499999999999995,-1.48,-2.34,1.519407290847102,0.3848793782174221,0.5847885333602504,0.3986486486486486,0.6196581196581196,-3.6934392700000016,-3.0839381900000022,-6.510488250000024,-3.693439396789498,-1.3025399247139844,-0.2111875472497096,-1.0130803347838755,0.4848213986217848,-2.730814399751447,6.875250052003975,6.119534423052706,10.84576444731508,106.59,29.39,79.97,135.54,257.89,95.78,46.940000000000005,112.45,23.97,0.8031242559812898,0.809180611050235,5.862541229136986,0.5205753735395873
PrCdS3,Cd,Pr,S,2.0,4.0,-2.0,1.69,1.13,2.58,131.4,84.98,184.4,-0.8900000000000001,-1.4500000000000002,-1.75,-2.31,1.5462461755707224,0.4608459869848156,0.7125813449023861,0.5085714285714287,0.6277056277056278,-5.657022910000005,-2.320982129999998,-7.00838179000003,-1.1571185497219154,-2.320982209675374,0.8145175879610062,0.9482623915387752,0.1152585549847216,-2.847077729734469,9.27193000127873,5.700078313684422,11.769320157021456,123.55,201.97,74.72999999999999,179.66,271.35,84.92999999999999,51.92,117.98,273.21,0.8366141694945057,0.8289586606238042,5.265558557978689,0.6716280237936864
PrCdSe3,Cd,Pr,Se,2.0,4.0,-2.0,1.69,1.13,2.55,131.4,84.98,198.14,-0.8599999999999999,-1.42,-1.75,-2.31,1.5462461755707224,0.4288886645805996,0.6631674573533866,0.4914285714285714,0.6147186147186147,-5.657022910000005,-2.320982129999998,-6.510488250000024,-1.1571185497219154,-2.320982209675374,-0.2111875472497096,0.9482623915387752,0.1152585549847216,-2.730814399751447,9.27193000127873,5.700078313684422,10.84576444731508,123.55,201.97,79.97,179.66,271.35,95.78,51.92,117.98,23.97,0.8073424987529543,0.823045195132482,5.427243660355719,0.6579724686721081
