Time,Time Code,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Control of Corruption: Estimate [CC.EST],Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Government Effectiveness: Estimate [GE.EST],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],Regulatory Quality: Estimate [RQ.EST],Rule of Law: Estimate [RL.EST],"School enrollment, primary (% gross) [SE.PRM.ENRR]",Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Voice and Accountability: Estimate [VA.EST]
2023,YR2023,Cyprus,CYP,1.179084651,0.332707405,..,..,..,..,0.737739921,91.2,79.761,81.648,0.409627169,14.28571429,0.778258264,0.628040314,..,11.2,6.098,0.974570155
2023,YR2023,Czechia,CZE,1.730518021,0.767809868,39.29445272,41.55118936,3525.588364,67.78,1.114011407,86,77.299,79.87804878,0.967361629,26,1.30448854,1.142183661,..,22.2,2.579,1.076549172
2023,YR2023,Denmark,DNK,0.756712777,2.376053095,7.434024505,44.43324831,2483.13781,50.01,2.015648842,98.8,80.754,81.85365854,0.85084796,43.57541899,1.839519858,1.908935905,..,17.9,5.094,1.664699316
2023,YR2023,Djibouti,DJI,2.490075784,-0.78092742,..,..,..,..,-0.731475413,65,33.555,65.987,-0.516700983,26.15384615,-0.933053493,-1.125167727,..,1.2,26.154,-1.274346471
2023,YR2023,Dominica,DMA,12.10972171,0.544514537,..,..,..,..,0.260825008,83.8,..,71.132,1.285264254,37.5,0.308252662,0.624852598,89.88308716,0.6,..,0.786084831
2023,YR2023,Dominican Republic,DOM,4.29425304,-0.449474931,..,..,..,..,0.128034413,84.6,68.712,73.72,0.239014015,27.89473684,0.171186909,-0.128592283,94.71645355,18.7,5.555,0.325887054
2023,YR2023,East Asia & Pacific (IDA & IBRD),TEA,7.553082484,..,..,..,..,..,..,..,73.27933261,75.90856436,..,23.31002331,..,..,101.8160019,8.615730812,3.990239378,..
2023,YR2023,Ecuador,ECU,7.995473633,-0.647337437,..,..,..,..,-0.494244993,72.7,67.882,77.392,-0.338139981,43.06569343,-0.718200982,-0.957790792,97.30069733,20,3.51,-0.061911304
2023,YR2023,"Egypt, Arab Rep.",EGY,10.60031116,-0.747790396,..,..,..,..,-0.239516973,72.7,45.483,71.633,-0.866764307,27.53378378,-0.665456295,-0.184178427,90.30618286,11.6,7.334,-1.379389763
2023,YR2023,El Salvador,SLV,4.450412566,-0.56131506,..,..,..,..,0.050439022,67.7,64.642,72.099,0.0023324,27.38095238,-0.307905406,-0.369357318,91.05136108,2.1,2.992,-0.474436671
2023,YR2023,Equatorial Guinea,GNQ,3.093410455,-1.570372701,..,..,..,..,-1.320349097,60.4,62.214,63.707,-0.235371336,31,-1.474425912,-1.338686466,..,1.8,8.367,-1.676851034
2023,YR2023,Eritrea,ERI,..,-1.475264907,..,..,..,..,-1.793756127,20,80.545,68.624,-0.792767763,..,-2.362993002,-1.762055755,..,0,5.586,-1.862361073
2023,YR2023,Estonia,EST,1.926658365,1.538122296,44.59721488,1.78784267,2880.943565,60.93,1.263469934,93.2,81.335,78.4902439,0.660533905,28.71287129,1.429643512,1.426388979,..,20.2,6.378,1.219925523
2023,YR2023,Eswatini,SWZ,6.779136219,-0.734985471,..,..,..,..,-0.884958327,57.6,50.067,64.123,-0.357591271,17.14285714,-0.717471898,-0.597746074,113.5388107,4.3,35.086,-1.164638162
2023,YR2023,Ethiopia,ETH,35.78648078,-0.465061635,..,..,..,..,-0.768662095,..,69.15,67.315,-1.969567776,41.31355932,-1.021079421,-0.670203269,84.47217926,17,3.402,-1.060667157
2023,YR2023,Europe & Central Asia (IDA & IBRD),TEC,4.537852769,..,44.39945444,62.98715002,..,82.59335764,..,..,68.96387375,74.7300564,..,25.06288589,..,..,97.42687988,9.483953942,5.160330972,..
2023,YR2023,Fiji,FJI,11.73291026,0.506272018,..,..,..,..,0.490778685,79.3,60.333,67.316,0.74434346,10.90909091,-0.090223096,0.304903954,107.6482103,1,4.322,0.186145917
2023,YR2023,Finland,FIN,2.305870622,2.221516609,4.08736811,31.82651352,5866.626075,32.66,1.738606572,93.5,79.704,81.68536585,0.713986695,46,1.765149355,1.967045903,..,13.1,7.151,1.63263607
2023,YR2023,France,FRA,1.740502752,1.184821844,0.587854672,47.1513489,3138.35191,46.47,1.14462626,86.8,73.688,82.92926829,0.343697965,37.78162912,1.153505445,1.180570841,..,36.6,7.335,1.154601336
2023,YR2023,Gabon,GAB,6.308829293,-1.01552844,..,..,..,..,-0.779809296,71.9,53.288,68.337,-0.335527301,24.48979592,-0.70481956,-0.87269336,..,25.1,20.278,-0.919151187
2023,YR2023,"Gambia, The",GMB,23.22462834,-0.281129718,..,..,..,..,-0.590593457,45.9,48.696,65.86,-0.012019929,8.620689655,-0.63958782,-0.374314547,93.74525035,2.9,6.479,-0.04100858
2023,YR2023,Georgia,GEO,6.015795081,0.617694795,..,..,..,..,0.791285872,81.9,68.863,74.496,-0.335554123,18.43971631,0.946578145,0.177279338,103.3378983,8.5,11.537,0.034713134
2023,YR2023,Germany,DEU,0.841992092,1.664166212,26.61580799,69.77173421,2925.37272,77.6,1.185416698,92.5,79.861,80.54146341,0.586989284,35.19021739,1.456974983,1.551207781,..,38.7,3.068,1.461385727
2023,YR2023,Ghana,GHA,20.94306878,-0.099021114,..,..,..,..,-0.092661589,69.9,64.854,65.498,-0.021620704,14.54545455,-0.180652201,-0.099637888,..,7.7,3.063,0.410351545
