,Unnamed: 0,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_S,rB_S
1,1,PbZrS3,0.0,"['Pb', 'Zr', 'S']",Pb,Zr,S,1.49,0.72,1.84,2,4,-2,2.33,1.33,2.58,2.0694444444444446,0.3913043478260869,0.8097826086956521,-0.25,-1.25,-1.11,-2.11,1.717,0.85
2,2,CsCdBr3,1.0,"['Cs', 'Cd', 'Br']",Cs,Cd,Br,1.88,0.95,1.96,1,2,-1,0.79,1.69,2.96,1.9789473684210528,0.4846938775510204,0.9591836734693876,-2.17,-1.27,-2.65,-1.75,2.135,1.56
3,3,RbMnF3,1.0,"['Rb', 'Mn', 'F']",Rb,Mn,F,1.72,0.83,1.33,1,2,-1,0.82,1.55,3.98,2.072289156626506,0.6240601503759398,1.2932330827067668,-3.16,-2.43,-2.62,-1.89,1.72,0.83
5,5,BaVSe3,0.0,"['Ba', 'V', 'Se']",Ba,V,Se,1.61,0.58,1.98,2,4,-2,0.89,1.63,2.55,2.775862068965518,0.2929292929292929,0.8131313131313131,-1.6599999999999997,-0.92,-2.55,-1.81,1.73,0.66
6,6,PbLiCl3,0.0,"['Pb', 'Li', 'Cl']",Pb,Li,Cl,1.49,0.76,1.81,2,1,-1,2.33,0.98,3.16,1.9605263157894737,0.4198895027624309,0.8232044198895028,-0.8300000000000001,-2.18,-1.11,-2.46,1.49,0.76
11,11,NdYbSe3,0.0,"['Nd', 'Yb', 'Se']",Nd,Yb,Se,1.27,0.868,1.98,3,3,-2,1.14,1.1,2.55,1.463133640552995,0.4383838383838384,0.6414141414141414,-1.41,-1.4499999999999995,-2.3,-2.34,1.587,1.02
15,15,CsTiBr3,0.0,"['Cs', 'Ti', 'Br']",Cs,Ti,Br,1.88,0.86,1.96,1,2,-1,0.79,1.54,2.96,2.186046511627907,0.4387755102040816,0.9591836734693876,-2.17,-1.42,-2.65,-1.9,2.135,0.73
16,16,RbVF3,1.0,"['Rb', 'V', 'F']",Rb,V,F,1.72,0.79,1.33,1,2,-1,0.82,1.63,3.98,2.1772151898734178,0.5939849624060151,1.2932330827067668,-3.16,-2.35,-2.62,-1.81,1.72,0.79
19,19,AgCuF3,1.0,"['Ag', 'Cu', 'F']",Ag,Cu,F,1.28,0.73,1.33,1,2,-1,1.93,1.9,3.98,1.7534246575342467,0.5488721804511277,0.962406015037594,-2.05,-2.08,-1.51,-1.54,1.28,0.73
20,20,CsFeCl3,0.0,"['Cs', 'Fe', 'Cl']",Cs,Fe,Cl,1.88,0.78,1.81,1,2,-1,0.79,1.83,3.16,2.41025641025641,0.430939226519337,1.0386740331491713,-2.37,-1.33,-2.65,-1.61,1.88,0.78
22,22,NaMgBr3,0.0,"['Na', 'Mg', 'Br']",Na,Mg,Br,1.39,0.72,1.96,1,2,-1,0.93,1.31,2.96,1.930555555555556,0.3673469387755102,0.7091836734693877,-2.03,-1.65,-2.51,-2.13,1.51,1.44
25,25,RbCdF3,1.0,"['Rb', 'Cd', 'F']",Rb,Cd,F,1.72,0.95,1.33,1,2,-1,0.82,1.69,3.98,1.8105263157894735,0.7142857142857142,1.2932330827067668,-3.16,-2.29,-2.62,-1.75,1.72,0.95
30,30,KBaBr3,0.0,"['K', 'Ba', 'Br']",K,Ba,Br,1.64,1.35,1.96,1,2,-1,0.82,0.89,2.96,1.2148148148148146,0.6887755102040817,0.836734693877551,-2.14,-2.07,-2.62,-2.55,1.85,1.73
32,32,NdYbS3,0.0,"['Nd', 'Yb', 'S']",Nd,Yb,S,1.27,0.868,1.84,3,3,-2,1.14,1.1,2.58,1.463133640552995,0.4717391304347826,0.6902173913043478,-1.4400000000000002,-1.48,-2.3,-2.34,1.587,1.02
33,33,NaBeCl3,0.0,"['Na', 'Be', 'Cl']",Na,Be,Cl,1.39,0.45,1.81,1,2,-1,0.93,1.57,3.16,3.088888888888889,0.2486187845303867,0.7679558011049723,-2.23,-1.59,-2.51,-1.87,1.39,0.45
34,34,NaCdI3,0.0,"['Na', 'Cd', 'I']",Na,Cd,I,1.39,0.95,2.2,1,2,-1,0.93,1.69,2.66,1.463157894736842,0.4318181818181817,0.6318181818181817,-1.73,-0.9700000000000002,-2.51,-1.75,1.51,1.56
36,36,KMgF3,1.0,"['K', 'Mg', 'F']",K,Mg,F,1.64,0.72,1.33,1,2,-1,0.82,1.31,3.98,2.2777777777777777,0.5413533834586466,1.2330827067669172,-3.16,-2.67,-2.62,-2.13,1.64,0.72
37,37,GdScS3,1.0,"['Gd', 'Sc', 'S']",Gd,Sc,S,1.107,0.745,1.84,3,3,-2,1.2,1.36,2.58,1.4859060402684563,0.404891304347826,0.6016304347826087,-1.38,-1.22,-2.24,-2.08,1.52,0.87
39,39,SrZrSe3,0.0,"['Sr', 'Zr', 'Se']",Sr,Zr,Se,1.44,0.72,1.98,2,4,-2,0.95,1.33,2.55,2.0,0.3636363636363636,0.7272727272727273,-1.6,-1.2199999999999998,-2.49,-2.11,1.68,0.85
41,41,NaMnCl3,0.0,"['Na', 'Mn', 'Cl']",Na,Mn,Cl,1.39,0.83,1.81,1,2,-1,0.93,1.55,3.16,1.6746987951807228,0.4585635359116021,0.7679558011049723,-2.23,-1.61,-2.51,-1.89,1.39,0.83
42,42,RbCuF3,1.0,"['Rb', 'Cu', 'F']",Rb,Cu,F,1.72,0.73,1.33,1,2,-1,0.82,1.9,3.98,2.356164383561644,0.5488721804511277,1.2932330827067668,-3.16,-2.08,-2.62,-1.54,1.72,0.73
43,43,NaCrCl3,0.0,"['Na', 'Cr', 'Cl']",Na,Cr,Cl,1.39,0.8,1.81,1,2,-1,0.93,1.66,3.16,1.7374999999999998,0.4419889502762431,0.7679558011049723,-2.23,-1.5000000000000002,-2.51,-1.78,1.39,0.8
46,46,KHgI3,0.0,"['K', 'Hg', 'I']",K,Hg,I,1.64,1.02,2.2,1,2,-1,0.82,2.0,2.66,1.6078431372549018,0.4636363636363636,0.7454545454545454,-1.8400000000000003,-0.6600000000000001,-2.62,-1.44,1.85,1.435
52,52,DyScS3,1.0,"['Dy', 'Sc', 'S']",Dy,Sc,S,1.083,0.745,1.84,3,3,-2,1.22,1.36,2.58,1.4536912751677853,0.404891304347826,0.5885869565217391,-1.36,-1.22,-2.22,-2.08,1.45,0.87
55,55,BaNbSe3,0.0,"['Ba', 'Nb', 'Se']",Ba,Nb,Se,1.61,0.68,1.98,2,4,-2,0.89,1.6,2.55,2.367647058823529,0.3434343434343435,0.8131313131313131,-1.6599999999999997,-0.9499999999999996,-2.55,-1.84,1.73,0.77
57,57,NaCaBr3,0.0,"['Na', 'Ca', 'Br']",Na,Ca,Br,1.39,1.0,1.96,1,2,-1,0.93,1.0,2.96,1.39,0.5102040816326531,0.7091836734693877,-2.03,-1.96,-2.51,-2.44,1.51,1.56
58,58,AgZnF3,1.0,"['Ag', 'Zn', 'F']",Ag,Zn,F,1.28,0.74,1.33,1,2,-1,1.93,1.65,3.98,1.7297297297297298,0.556390977443609,0.962406015037594,-2.05,-2.33,-1.51,-1.79,1.28,0.74
62,62,NaCuF3,1.0,"['Na', 'Cu', 'F']",Na,Cu,F,1.39,0.73,1.33,1,2,-1,0.93,1.9,3.98,1.904109589041096,0.5488721804511277,1.045112781954887,-3.05,-2.08,-2.51,-1.54,1.39,0.73
63,63,NaCoF3,1.0,"['Na', 'Co', 'F']",Na,Co,F,1.39,0.745,1.33,1,2,-1,0.93,1.88,3.98,1.8657718120805369,0.5601503759398496,1.045112781954887,-3.05,-2.1,-2.51,-1.56,1.39,0.745
65,65,PbAgBr3,0.0,"['Pb', 'Ag', 'Br']",Pb,Ag,Br,1.49,1.15,1.96,2,1,-1,2.33,1.93,2.96,1.2956521739130435,0.586734693877551,0.7602040816326531,-0.6299999999999999,-1.03,-1.11,-1.51,1.717,1.28
69,69,LaYS3,0.0,"['La', 'Y', 'S']",La,Y,S,1.36,0.9,1.84,3,3,-2,1.1,1.22,2.58,1.511111111111111,0.4891304347826087,0.7391304347826088,-1.48,-1.36,-2.34,-2.22,1.5,1.01
70,70,SmScS3,1.0,"['Sm', 'Sc', 'S']",Sm,Sc,S,1.24,0.745,1.84,3,3,-2,1.17,1.36,2.58,1.6644295302013423,0.404891304347826,0.6739130434782609,-1.41,-1.22,-2.27,-2.08,1.64,0.87
75,75,CsGeCl3,0.0,"['Cs', 'Ge', 'Cl']",Cs,Ge,Cl,1.88,0.73,1.81,1,2,-1,0.79,2.01,3.16,2.5753424657534247,0.4033149171270718,1.0386740331491713,-2.37,-1.1500000000000004,-2.65,-1.4300000000000002,1.88,0.73
77,77,PbNaF3,0.0,"['Pb', 'Na', 'F']",Pb,Na,F,1.49,1.02,1.33,2,1,-1,2.33,0.93,3.98,1.46078431372549,0.7669172932330827,1.1203007518796992,-1.65,-3.05,-1.11,-2.51,1.49,1.02
78,78,LaTmS3,0.0,"['La', 'Tm', 'S']",La,Tm,S,1.36,0.88,1.84,3,3,-2,1.1,1.25,2.58,1.5454545454545456,0.4782608695652173,0.7391304347826088,-1.48,-1.33,-2.34,-2.19,1.5,1.0
84,84,TlPbI3,0.0,"['Tl', 'Pb', 'I']",Tl,Pb,I,1.7,1.19,2.2,1,2,-1,1.62,2.33,2.66,1.4285714285714286,0.5409090909090909,0.7727272727272726,-1.04,-0.33,-1.82,-1.11,2.17,1.717
86,86,KBeCl3,0.0,"['K', 'Be', 'Cl']",K,Be,Cl,1.64,0.45,1.81,1,2,-1,0.82,1.57,3.16,3.644444444444444,0.2486187845303867,0.9060773480662982,-2.3400000000000003,-1.59,-2.62,-1.87,1.64,0.45
89,89,KCdF3,1.0,"['K', 'Cd', 'F']",K,Cd,F,1.64,0.95,1.33,1,2,-1,0.82,1.69,3.98,1.7263157894736842,0.7142857142857142,1.2330827067669172,-3.16,-2.29,-2.62,-1.75,1.64,0.95
91,91,CsGeI3,0.0,"['Cs', 'Ge', 'I']",Cs,Ge,I,1.88,0.73,2.2,1,2,-1,0.79,2.01,2.66,2.5753424657534247,0.3318181818181818,0.8545454545454544,-1.87,-0.6500000000000004,-2.65,-1.4300000000000002,2.135,0.616
103,103,CsHgBr3,1.0,"['Cs', 'Hg', 'Br']",Cs,Hg,Br,1.88,1.02,1.96,1,2,-1,0.79,2.0,2.96,1.843137254901961,0.5204081632653061,0.9591836734693876,-2.17,-0.96,-2.65,-1.44,2.135,1.435
105,105,RbYbI3,0.0,"['Rb', 'Yb', 'I']",Rb,Yb,I,1.72,1.02,2.2,1,2,-1,0.82,1.1,2.66,1.6862745098039216,0.4636363636363636,0.7818181818181817,-1.8400000000000003,-1.56,-2.62,-2.34,1.78,1.02
106,106,RbSrF3,0.0,"['Rb', 'Sr', 'F']",Rb,Sr,F,1.72,1.18,1.33,1,2,-1,0.82,0.95,3.98,1.457627118644068,0.8872180451127819,1.2932330827067668,-3.16,-3.03,-2.62,-2.49,1.72,1.18
107,107,PbTaS3,0.0,"['Pb', 'Ta', 'S']",Pb,Ta,S,1.49,0.68,1.84,2,4,-2,2.33,1.5,2.58,2.191176470588235,0.3695652173913044,0.8097826086956521,-0.25,-1.08,-1.11,-1.94,1.717,0.75
111,111,RbGeI3,0.0,"['Rb', 'Ge', 'I']",Rb,Ge,I,1.72,0.73,2.2,1,2,-1,0.82,2.01,2.66,2.356164383561644,0.3318181818181818,0.7818181818181817,-1.8400000000000003,-0.6500000000000004,-2.62,-1.4300000000000002,1.78,0.616
113,113,NaMnF3,1.0,"['Na', 'Mn', 'F']",Na,Mn,F,1.39,0.83,1.33,1,2,-1,0.93,1.55,3.98,1.6746987951807228,0.6240601503759398,1.045112781954887,-3.05,-2.43,-2.51,-1.89,1.39,0.83
114,114,TlCdF3,1.0,"['Tl', 'Cd', 'F']",Tl,Cd,F,1.7,0.95,1.33,1,2,-1,1.62,1.69,3.98,1.7894736842105263,0.7142857142857142,1.2781954887218043,-2.36,-2.29,-1.82,-1.75,1.7,0.95
115,115,LaLuS3,1.0,"['La', 'Lu', 'S']",La,Lu,S,1.36,0.861,1.84,3,3,-2,1.1,1.27,2.58,1.5795586527293846,0.4679347826086956,0.7391304347826088,-1.48,-1.31,-2.34,-2.17,1.5,0.99
116,116,MnLiI3,0.0,"['Mn', 'Li', 'I']",Mn,Li,I,0.96,0.76,2.2,2,1,-1,1.55,0.98,2.66,1.263157894736842,0.3454545454545454,0.4363636363636363,-1.11,-1.6800000000000002,-1.89,-2.46,1.485,0.76
118,118,LaErS3,0.0,"['La', 'Er', 'S']",La,Er,S,1.36,0.89,1.84,3,3,-2,1.1,1.24,2.58,1.5280898876404496,0.483695652173913,0.7391304347826088,-1.48,-1.34,-2.34,-2.2,1.5,1.04
119,119,RbHgF3,1.0,"['Rb', 'Hg', 'F']",Rb,Hg,F,1.72,1.02,1.33,1,2,-1,0.82,2.0,3.98,1.6862745098039216,0.7669172932330827,1.2932330827067668,-3.16,-1.98,-2.62,-1.44,1.72,1.02
122,122,TlSrCl3,0.0,"['Tl', 'Sr', 'Cl']",Tl,Sr,Cl,1.7,1.18,1.81,1,2,-1,1.62,0.95,3.16,1.4406779661016949,0.6519337016574586,0.9392265193370164,-1.54,-2.21,-1.82,-2.49,1.7,1.18
125,125,NaCrF3,1.0,"['Na', 'Cr', 'F']",Na,Cr,F,1.39,0.8,1.33,1,2,-1,0.93,1.66,3.98,1.7374999999999998,0.6015037593984962,1.045112781954887,-3.05,-2.3200000000000003,-2.51,-1.78,1.39,0.8
126,126,LiMgI3,0.0,"['Li', 'Mg', 'I']",Li,Mg,I,0.92,0.72,2.2,1,2,-1,0.98,1.31,2.66,1.277777777777778,0.3272727272727272,0.4181818181818181,-1.6800000000000002,-1.35,-2.46,-2.13,0.92,1.44
128,128,CsBaBr3,0.0,"['Cs', 'Ba', 'Br']",Cs,Ba,Br,1.88,1.35,1.96,1,2,-1,0.79,0.89,2.96,1.3925925925925924,0.6887755102040817,0.9591836734693876,-2.17,-2.07,-2.65,-2.55,2.135,1.73
129,129,NaNiF3,1.0,"['Na', 'Ni', 'F']",Na,Ni,F,1.39,0.69,1.33,1,2,-1,0.93,1.91,3.98,2.0144927536231885,0.5187969924812029,1.045112781954887,-3.05,-2.0700000000000003,-2.51,-1.53,1.39,0.69
131,131,BaTaSe3,0.0,"['Ba', 'Ta', 'Se']",Ba,Ta,Se,1.61,0.68,1.98,2,4,-2,0.89,1.5,2.55,2.367647058823529,0.3434343434343435,0.8131313131313131,-1.6599999999999997,-1.0499999999999998,-2.55,-1.94,1.73,0.75
132,132,CsSnCl3,1.0,"['Cs', 'Sn', 'Cl']",Cs,Sn,Cl,1.88,1.15,1.81,1,2,-1,0.79,1.96,3.16,1.6347826086956525,0.6353591160220994,1.0386740331491713,-2.37,-1.2000000000000002,-2.65,-1.48,1.88,1.15
134,134,CsBaF3,0.0,"['Cs', 'Ba', 'F']",Cs,Ba,F,1.88,1.35,1.33,1,2,-1,0.79,0.89,3.98,1.3925925925925924,1.0150375939849623,1.413533834586466,-3.19,-3.09,-2.65,-2.55,1.88,1.35
136,136,NdLuSe3,0.0,"['Nd', 'Lu', 'Se']",Nd,Lu,Se,1.27,0.861,1.98,3,3,-2,1.14,1.27,2.55,1.475029036004646,0.4348484848484849,0.6414141414141414,-1.41,-1.2799999999999998,-2.3,-2.17,1.587,0.99
137,137,RbMnBr3,0.0,"['Rb', 'Mn', 'Br']",Rb,Mn,Br,1.72,0.83,1.96,1,2,-1,0.82,1.55,2.96,2.072289156626506,0.423469387755102,0.8775510204081632,-2.14,-1.41,-2.62,-1.89,1.78,1.485
138,138,KFeF3,1.0,"['K', 'Fe', 'F']",K,Fe,F,1.64,0.78,1.33,1,2,-1,0.82,1.83,3.98,2.102564102564102,0.5864661654135338,1.2330827067669172,-3.16,-2.15,-2.62,-1.61,1.64,0.78
140,140,PbHfS3,0.0,"['Pb', 'Hf', 'S']",Pb,Hf,S,1.49,0.71,1.84,2,4,-2,2.33,1.3,2.58,2.098591549295775,0.3858695652173912,0.8097826086956521,-0.25,-1.28,-1.11,-2.14,1.717,0.85
143,143,KTiI3,0.0,"['K', 'Ti', 'I']",K,Ti,I,1.64,0.86,2.2,1,2,-1,0.82,1.54,2.66,1.9069767441860463,0.3909090909090909,0.7454545454545454,-1.8400000000000003,-1.12,-2.62,-1.9,1.85,0.73
146,146,PbLiBr3,0.0,"['Pb', 'Li', 'Br']",Pb,Li,Br,1.49,0.76,1.96,2,1,-1,2.33,0.98,2.96,1.9605263157894737,0.3877551020408163,0.7602040816326531,-0.6299999999999999,-1.98,-1.11,-2.46,1.717,0.76
147,147,CuTaS3,0.0,"['Cu', 'Ta', 'S']",Cu,Ta,S,0.77,0.64,1.84,1,5,-2,1.9,1.5,2.58,1.203125,0.3478260869565217,0.4184782608695652,-0.6800000000000002,-1.08,-1.54,-1.94,1.34,0.75
148,148,PrLuS3,0.0,"['Pr', 'Lu', 'S']",Pr,Lu,S,1.179,0.861,1.84,3,3,-2,1.13,1.27,2.58,1.3693379790940767,0.4679347826086956,0.6407608695652174,-1.4500000000000002,-1.31,-2.31,-2.17,1.56,0.99
150,150,RbCaF3,1.0,"['Rb', 'Ca', 'F']",Rb,Ca,F,1.72,1.0,1.33,1,2,-1,0.82,1.0,3.98,1.72,0.7518796992481203,1.2932330827067668,-3.16,-2.98,-2.62,-2.44,1.72,1.0
151,151,BaSnS3,0.0,"['Ba', 'Sn', 'S']",Ba,Sn,S,1.61,0.69,1.84,2,4,-2,0.89,1.96,2.58,2.333333333333333,0.3749999999999999,0.875,-1.69,-0.6200000000000001,-2.55,-1.48,1.73,0.86
152,152,PbAgF3,0.0,"['Pb', 'Ag', 'F']",Pb,Ag,F,1.49,1.15,1.33,2,1,-1,2.33,1.93,3.98,1.2956521739130435,0.8646616541353382,1.1203007518796992,-1.65,-2.05,-1.11,-1.51,1.49,1.15
155,155,TlEuCl3,0.0,"['Tl', 'Eu', 'Cl']",Tl,Eu,Cl,1.7,1.17,1.81,1,2,-1,1.62,1.2,3.16,1.452991452991453,0.6464088397790054,0.9392265193370164,-1.54,-1.96,-1.82,-2.24,1.7,1.17
156,156,BaNaF3,0.0,"['Ba', 'Na', 'F']",Ba,Na,F,1.61,1.02,1.33,2,1,-1,0.89,0.93,3.98,1.5784313725490198,0.7669172932330827,1.2105263157894737,-3.09,-3.05,-2.55,-2.51,1.61,1.02
157,157,RbMgI3,0.0,"['Rb', 'Mg', 'I']",Rb,Mg,I,1.72,0.72,2.2,1,2,-1,0.82,1.31,2.66,2.388888888888889,0.3272727272727272,0.7818181818181817,-1.8400000000000003,-1.35,-2.62,-2.13,1.78,1.44
158,158,ErScS3,1.0,"['Er', 'Sc', 'S']",Er,Sc,S,1.062,0.745,1.84,3,3,-2,1.24,1.36,2.58,1.425503355704698,0.404891304347826,0.5771739130434783,-1.34,-1.22,-2.2,-2.08,1.04,0.87
159,159,AgCaCl3,0.0,"['Ag', 'Ca', 'Cl']",Ag,Ca,Cl,1.28,1.0,1.81,1,2,-1,1.93,1.0,3.16,1.28,0.5524861878453039,0.7071823204419889,-1.2300000000000002,-2.16,-1.51,-2.44,1.28,1.0
162,162,RbBaBr3,0.0,"['Rb', 'Ba', 'Br']",Rb,Ba,Br,1.72,1.35,1.96,1,2,-1,0.82,0.89,2.96,1.274074074074074,0.6887755102040817,0.8775510204081632,-2.14,-2.07,-2.62,-2.55,1.78,1.73
168,168,CaCuCl3,0.0,"['Ca', 'Cu', 'Cl']",Ca,Cu,Cl,1.34,0.77,1.81,2,1,-1,1.0,1.9,3.16,1.7402597402597404,0.425414364640884,0.7403314917127072,-2.16,-1.2600000000000002,-2.44,-1.54,1.34,0.77
169,169,LaYbSe3,0.0,"['La', 'Yb', 'Se']",La,Yb,Se,1.36,0.868,1.98,3,3,-2,1.1,1.1,2.55,1.566820276497696,0.4383838383838384,0.686868686868687,-1.4499999999999995,-1.4499999999999995,-2.34,-2.34,1.5,1.02
170,170,AgSnCl3,0.0,"['Ag', 'Sn', 'Cl']",Ag,Sn,Cl,1.28,1.15,1.81,1,2,-1,1.93,1.96,3.16,1.1130434782608696,0.6353591160220994,0.7071823204419889,-1.2300000000000002,-1.2000000000000002,-1.51,-1.48,1.28,1.15
180,180,CsMnI3,0.0,"['Cs', 'Mn', 'I']",Cs,Mn,I,1.88,0.83,2.2,1,2,-1,0.79,1.55,2.66,2.265060240963856,0.3772727272727272,0.8545454545454544,-1.87,-1.11,-2.65,-1.89,2.135,1.485
182,182,KCaI3,0.0,"['K', 'Ca', 'I']",K,Ca,I,1.64,1.0,2.2,1,2,-1,0.82,1.0,2.66,1.64,0.4545454545454545,0.7454545454545454,-1.8400000000000003,-1.66,-2.62,-2.44,1.85,1.56
183,183,RbNiBr3,0.0,"['Rb', 'Ni', 'Br']",Rb,Ni,Br,1.72,0.69,1.96,1,2,-1,0.82,1.91,2.96,2.4927536231884058,0.3520408163265306,0.8775510204081632,-2.14,-1.05,-2.62,-1.53,1.78,0.69
193,193,NaZnF3,1.0,"['Na', 'Zn', 'F']",Na,Zn,F,1.39,0.74,1.33,1,2,-1,0.93,1.65,3.98,1.8783783783783785,0.556390977443609,1.045112781954887,-3.05,-2.33,-2.51,-1.79,1.39,0.74
194,194,SrNaCl3,0.0,"['Sr', 'Na', 'Cl']",Sr,Na,Cl,1.44,1.02,1.81,2,1,-1,0.95,0.93,3.16,1.4117647058823528,0.56353591160221,0.7955801104972375,-2.21,-2.23,-2.49,-2.51,1.44,1.02
199,199,BaLiBr3,0.0,"['Ba', 'Li', 'Br']",Ba,Li,Br,1.61,0.76,1.96,2,1,-1,0.89,0.98,2.96,2.118421052631579,0.3877551020408163,0.8214285714285715,-2.07,-1.98,-2.55,-2.46,1.73,0.76
201,201,KCaF3,1.0,"['K', 'Ca', 'F']",K,Ca,F,1.64,1.0,1.33,1,2,-1,0.82,1.0,3.98,1.64,0.7518796992481203,1.2330827067669172,-3.16,-2.98,-2.62,-2.44,1.64,1.0
202,202,SrNaBr3,0.0,"['Sr', 'Na', 'Br']",Sr,Na,Br,1.44,1.02,1.96,2,1,-1,0.95,0.93,2.96,1.4117647058823528,0.5204081632653061,0.7346938775510204,-2.01,-2.03,-2.49,-2.51,1.68,1.51
203,203,BaLiCl3,0.0,"['Ba', 'Li', 'Cl']",Ba,Li,Cl,1.61,0.76,1.81,2,1,-1,0.89,0.98,3.16,2.118421052631579,0.4198895027624309,0.8895027624309393,-2.27,-2.18,-2.55,-2.46,1.61,0.76
206,206,RbVI3,0.0,"['Rb', 'V', 'I']",Rb,V,I,1.72,0.79,2.2,1,2,-1,0.82,1.63,2.66,2.1772151898734178,0.359090909090909,0.7818181818181817,-1.8400000000000003,-1.0300000000000002,-2.62,-1.81,1.78,0.66
213,213,AgMgCl3,0.0,"['Ag', 'Mg', 'Cl']",Ag,Mg,Cl,1.28,0.72,1.81,1,2,-1,1.93,1.31,3.16,1.777777777777778,0.3977900552486187,0.7071823204419889,-1.2300000000000002,-1.85,-1.51,-2.13,1.28,0.72
214,214,AgCdBr3,0.0,"['Ag', 'Cd', 'Br']",Ag,Cd,Br,1.28,0.95,1.96,1,2,-1,1.93,1.69,2.96,1.3473684210526318,0.4846938775510204,0.653061224489796,-1.03,-1.27,-1.51,-1.75,1.28,1.56
216,216,CeErS3,0.0,"['Ce', 'Er', 'S']",Ce,Er,S,1.34,0.89,1.84,3,3,-2,1.12,1.24,2.58,1.50561797752809,0.483695652173913,0.7282608695652174,-1.46,-1.34,-2.32,-2.2,1.602,1.04
217,217,BaUSe3,1.0,"['Ba', 'U', 'Se']",Ba,U,Se,1.61,0.89,1.98,2,4,-2,0.89,1.38,2.55,1.808988764044944,0.4494949494949495,0.8131313131313131,-1.6599999999999997,-1.17,-2.55,-2.06,1.73,0.99
221,221,CsCdF3,1.0,"['Cs', 'Cd', 'F']",Cs,Cd,F,1.88,0.95,1.33,1,2,-1,0.79,1.69,3.98,1.9789473684210528,0.7142857142857142,1.413533834586466,-3.19,-2.29,-2.65,-1.75,1.88,0.95
223,223,TbScS3,1.0,"['Tb', 'Sc', 'S']",Tb,Sc,S,1.095,0.745,1.84,3,3,-2,1.1,1.36,2.58,1.4697986577181208,0.404891304347826,0.5951086956521738,-1.48,-1.22,-2.34,-2.08,1.51,0.87
225,225,NaCaI3,0.0,"['Na', 'Ca', 'I']",Na,Ca,I,1.39,1.0,2.2,1,2,-1,0.93,1.0,2.66,1.39,0.4545454545454545,0.6318181818181817,-1.73,-1.66,-2.51,-2.44,1.51,1.56
228,228,RbTiI3,0.0,"['Rb', 'Ti', 'I']",Rb,Ti,I,1.72,0.86,2.2,1,2,-1,0.82,1.54,2.66,2.0,0.3909090909090909,0.7818181818181817,-1.8400000000000003,-1.12,-2.62,-1.9,1.78,0.73
234,234,BaNaCl3,0.0,"['Ba', 'Na', 'Cl']",Ba,Na,Cl,1.61,1.02,1.81,2,1,-1,0.89,0.93,3.16,1.5784313725490198,0.56353591160221,0.8895027624309393,-2.27,-2.23,-2.55,-2.51,1.61,1.02
236,236,KMnF3,1.0,"['K', 'Mn', 'F']",K,Mn,F,1.64,0.83,1.33,1,2,-1,0.82,1.55,3.98,1.9759036144578312,0.6240601503759398,1.2330827067669172,-3.16,-2.43,-2.62,-1.89,1.64,0.83
238,238,KMnI3,0.0,"['K', 'Mn', 'I']",K,Mn,I,1.64,0.83,2.2,1,2,-1,0.82,1.55,2.66,1.9759036144578312,0.3772727272727272,0.7454545454545454,-1.8400000000000003,-1.11,-2.62,-1.89,1.85,1.485
239,239,CeYbSe3,0.0,"['Ce', 'Yb', 'Se']",Ce,Yb,Se,1.34,0.868,1.98,3,3,-2,1.12,1.1,2.55,1.543778801843318,0.4383838383838384,0.6767676767676768,-1.4299999999999995,-1.4499999999999995,-2.32,-2.34,1.602,1.02
240,240,CuTaS3,0.0,"['Cu', 'Ta', 'S']",Cu,Ta,S,0.77,0.64,1.84,1,5,-2,1.9,1.5,2.58,1.203125,0.3478260869565217,0.4184782608695652,-0.6800000000000002,-1.08,-1.54,-1.94,1.34,0.75
241,241,CaLiCl3,0.0,"['Ca', 'Li', 'Cl']",Ca,Li,Cl,1.34,0.76,1.81,2,1,-1,1.0,0.98,3.16,1.7631578947368425,0.4198895027624309,0.7403314917127072,-2.16,-2.18,-2.44,-2.46,1.34,0.76
242,242,BaNbS3,0.0,"['Ba', 'Nb', 'S']",Ba,Nb,S,1.61,0.68,1.84,2,4,-2,0.89,1.6,2.58,2.367647058823529,0.3695652173913044,0.875,-1.69,-0.98,-2.55,-1.84,1.73,0.77
245,245,UVS3,1.0,"['U', 'V', 'S']",U,V,S,1.17,0.79,1.84,4,2,-2,1.38,1.63,2.58,1.481012658227848,0.4293478260869565,0.6358695652173912,-1.2000000000000002,-0.9500000000000002,-2.06,-1.81,1.53,0.66
246,246,UCrS3,1.0,"['U', 'Cr', 'S']",U,Cr,S,1.17,0.8,1.84,4,2,-2,1.38,1.66,2.58,1.4625,0.4347826086956521,0.6358695652173912,-1.2000000000000002,-0.9200000000000002,-2.06,-1.78,1.53,0.705
247,247,TlCdI3,0.0,"['Tl', 'Cd', 'I']",Tl,Cd,I,1.7,0.95,2.2,1,2,-1,1.62,1.69,2.66,1.7894736842105263,0.4318181818181817,0.7727272727272726,-1.04,-0.9700000000000002,-1.82,-1.75,2.17,1.56
248,248,CsCdCl3,1.0,"['Cs', 'Cd', 'Cl']",Cs,Cd,Cl,1.88,0.95,1.81,1,2,-1,0.79,1.69,3.16,1.9789473684210528,0.5248618784530387,1.0386740331491713,-2.37,-1.4700000000000002,-2.65,-1.75,1.88,0.95
