,Unnamed: 0,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_S,rB_S
456,456,RbCrF3,1.0,"['Rb', 'Cr', 'F']",Rb,Cr,F,1.72,0.8,1.33,1,2,-1,0.82,1.66,3.98,2.15,0.6015037593984962,1.2932330827067668,-3.16,-2.3200000000000003,-2.62,-1.78,1.72,0.8
465,465,SnNbS3,0.0,"['Sn', 'Nb', 'S']",Sn,Nb,S,1.15,0.68,1.84,2,4,-2,1.96,1.6,2.58,1.691176470588235,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-0.98,-1.48,-1.84,1.607,0.77
466,466,CsMnBr3,0.0,"['Cs', 'Mn', 'Br']",Cs,Mn,Br,1.88,0.83,1.96,1,2,-1,0.79,1.55,2.96,2.265060240963856,0.423469387755102,0.9591836734693876,-2.17,-1.41,-2.65,-1.89,2.135,1.485
472,472,PrYbS3,0.0,"['Pr', 'Yb', 'S']",Pr,Yb,S,1.179,0.868,1.84,3,3,-2,1.13,1.1,2.58,1.358294930875576,0.4717391304347826,0.6407608695652174,-1.4500000000000002,-1.48,-2.31,-2.34,1.56,1.02
475,475,TlCdCl3,1.0,"['Tl', 'Cd', 'Cl']",Tl,Cd,Cl,1.7,0.95,1.81,1,2,-1,1.62,1.69,3.16,1.7894736842105263,0.5248618784530387,0.9392265193370164,-1.54,-1.4700000000000002,-1.82,-1.75,1.7,0.95
476,476,KSmCl3,0.0,"['K', 'Sm', 'Cl']",K,Sm,Cl,1.64,1.22,1.81,1,2,-1,0.82,1.17,3.16,1.3442622950819672,0.6740331491712707,0.9060773480662982,-2.3400000000000003,-1.99,-2.62,-2.27,1.64,1.22
479,479,LiBeCl3,0.0,"['Li', 'Be', 'Cl']",Li,Be,Cl,0.92,0.45,1.81,1,2,-1,0.98,1.57,3.16,2.0444444444444443,0.2486187845303867,0.5082872928176796,-2.18,-1.59,-2.46,-1.87,0.92,0.45
480,480,CeLuS3,0.0,"['Ce', 'Lu', 'S']",Ce,Lu,S,1.34,0.861,1.84,3,3,-2,1.12,1.27,2.58,1.556329849012776,0.4679347826086956,0.7282608695652174,-1.46,-1.31,-2.32,-2.17,1.602,0.99
483,483,SrHfS3,1.0,"['Sr', 'Hf', 'S']",Sr,Hf,S,1.44,0.71,1.84,2,4,-2,0.95,1.3,2.58,2.028169014084507,0.3858695652173912,0.7826086956521738,-1.63,-1.28,-2.49,-2.14,1.68,0.85
484,484,SmYbSe3,0.0,"['Sm', 'Yb', 'Se']",Sm,Yb,Se,1.24,0.868,1.98,3,3,-2,1.17,1.1,2.55,1.4285714285714286,0.4383838383838384,0.6262626262626263,-1.38,-1.4499999999999995,-2.27,-2.34,1.64,1.02
489,489,KCoI3,0.0,"['K', 'Co', 'I']",K,Co,I,1.64,0.745,2.2,1,2,-1,0.82,1.88,2.66,2.2013422818791946,0.3386363636363636,0.7454545454545454,-1.8400000000000003,-0.7800000000000002,-2.62,-1.56,1.85,0.745
490,490,RbFeF3,1.0,"['Rb', 'Fe', 'F']",Rb,Fe,F,1.72,0.78,1.33,1,2,-1,0.82,1.83,3.98,2.205128205128205,0.5864661654135338,1.2932330827067668,-3.16,-2.15,-2.62,-1.61,1.72,0.78
491,491,KNiF3,1.0,"['K', 'Ni', 'F']",K,Ni,F,1.64,0.69,1.33,1,2,-1,0.82,1.91,3.98,2.3768115942028984,0.5187969924812029,1.2330827067669172,-3.16,-2.0700000000000003,-2.62,-1.53,1.64,0.69
493,493,NdLuS3,0.0,"['Nd', 'Lu', 'S']",Nd,Lu,S,1.27,0.861,1.84,3,3,-2,1.14,1.27,2.58,1.475029036004646,0.4679347826086956,0.6902173913043478,-1.4400000000000002,-1.31,-2.3,-2.17,1.587,0.99
494,494,BaTaS3,0.0,"['Ba', 'Ta', 'S']",Ba,Ta,S,1.61,0.68,1.84,2,4,-2,0.89,1.5,2.58,2.367647058823529,0.3695652173913044,0.875,-1.69,-1.08,-2.55,-1.94,1.73,0.75
496,496,KVF3,1.0,"['K', 'V', 'F']",K,V,F,1.64,0.79,1.33,1,2,-1,0.82,1.63,3.98,2.075949367088608,0.5939849624060151,1.2330827067669172,-3.16,-2.35,-2.62,-1.81,1.64,0.79
497,497,BaTiSe3,0.0,"['Ba', 'Ti', 'Se']",Ba,Ti,Se,1.61,0.605,1.98,2,4,-2,0.89,1.54,2.55,2.6611570247933884,0.3055555555555555,0.8131313131313131,-1.6599999999999997,-1.0099999999999998,-2.55,-1.9,1.73,0.73
498,498,KNiCl3,0.0,"['K', 'Ni', 'Cl']",K,Ni,Cl,1.64,0.69,1.81,1,2,-1,0.82,1.91,3.16,2.3768115942028984,0.3812154696132596,0.9060773480662982,-2.3400000000000003,-1.2500000000000002,-2.62,-1.53,1.64,0.69
