,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO
413,LiMgBr3,0.0,"['Li', 'Mg', 'Br']",Li,Mg,Br,0.92,0.72,1.96,1,2,-1,0.98,1.31,2.96,1.277777777777778,0.3673469387755102,0.46938775510204084,-1.98,-1.65,-2.46,-2.13
414,ZnTiO3,0.0,"['Zn', 'Ti', 'O']",Zn,Ti,O,0.9,0.605,1.4,2,4,-2,1.65,1.54,3.44,1.4876033057851241,0.43214285714285716,0.6428571428571429,-1.79,-1.9,-1.79,-1.9
415,ErBO3,0.0,"['Er', 'B', 'O']",Er,B,O,1.062,0.27,1.4,3,3,-2,1.24,2.04,3.44,3.933333333333333,0.1928571428571429,0.7585714285714287,-2.2,-1.4,-2.2,-1.4
416,PbTeO3,0.0,"['Pb', 'Te', 'O']",Pb,Te,O,1.49,0.97,1.4,2,4,-2,2.33,2.1,3.44,1.5360824742268042,0.6928571428571428,1.0642857142857143,-1.1099999999999999,-1.3399999999999999,-1.1099999999999999,-1.3399999999999999
417,CdGeO3,1.0,"['Cd', 'Ge', 'O']",Cd,Ge,O,1.31,0.53,1.4,2,4,-2,1.69,2.01,3.44,2.4716981132075473,0.3785714285714286,0.9357142857142858,-1.75,-1.4300000000000002,-1.75,-1.4300000000000002
418,KBaCl3,0.0,"['K', 'Ba', 'Cl']",K,Ba,Cl,1.64,1.35,1.81,1,2,-1,0.82,0.89,3.16,1.2148148148148146,0.7458563535911602,0.9060773480662982,-2.3400000000000003,-2.27,-2.62,-2.55
419,TlIO3,1.0,"['Tl', 'I', 'O']",Tl,I,O,1.7,0.95,1.4,1,5,-2,1.62,2.66,3.44,1.7894736842105263,0.6785714285714286,1.2142857142857144,-1.8199999999999998,-0.7799999999999998,-1.8199999999999998,-0.7799999999999998
420,LiAsO3,0.0,"['Li', 'As', 'O']",Li,As,O,0.92,0.46,1.4,1,5,-2,0.98,2.18,3.44,2.0,0.3285714285714286,0.6571428571428573,-2.46,-1.2599999999999998,-2.46,-1.2599999999999998
421,NaWO3,1.0,"['Na', 'W', 'O']",Na,W,O,1.39,0.62,1.4,1,5,-2,0.93,2.36,3.44,2.2419354838709675,0.4428571428571429,0.9928571428571429,-2.51,-1.08,-2.51,-1.08
422,RbZnF3,1.0,"['Rb', 'Zn', 'F']",Rb,Zn,F,1.72,0.74,1.33,1,2,-1,0.82,1.65,3.98,2.324324324324324,0.556390977443609,1.2932330827067668,-3.16,-2.33,-2.62,-1.79
423,BaMoO3,1.0,"['Ba', 'Mo', 'O']",Ba,Mo,O,1.61,0.65,1.4,2,4,-2,0.89,2.16,3.44,2.476923076923077,0.46428571428571436,1.1500000000000001,-2.55,-1.2799999999999998,-2.55,-1.2799999999999998
424,CaPbO3,1.0,"['Ca', 'Pb', 'O']",Ca,Pb,O,1.34,0.775,1.4,2,4,-2,1.0,2.33,3.44,1.729032258064516,0.5535714285714286,0.9571428571428573,-2.44,-1.1099999999999999,-2.44,-1.1099999999999999
425,PrRuO3,1.0,"['Pr', 'Ru', 'O']",Pr,Ru,O,1.179,0.68,1.4,3,3,-2,1.13,2.2,3.44,1.7338235294117645,0.48571428571428577,0.8421428571428572,-2.31,-1.2399999999999998,-2.31,-1.2399999999999998
426,SmAlO3,1.0,"['Sm', 'Al', 'O']",Sm,Al,O,1.24,0.535,1.4,3,3,-2,1.17,1.61,3.44,2.317757009345794,0.3821428571428572,0.8857142857142858,-2.27,-1.8299999999999998,-2.27,-1.8299999999999998
427,PrLuO3,1.0,"['Pr', 'Lu', 'O']",Pr,Lu,O,1.179,0.861,1.4,3,3,-2,1.13,1.27,3.44,1.3693379790940767,0.615,0.8421428571428572,-2.31,-2.17,-2.31,-2.17
428,EuCrO3,1.0,"['Eu', 'Cr', 'O']",Eu,Cr,O,1.12,0.615,1.4,3,3,-2,1.2,1.66,3.44,1.821138211382114,0.43928571428571433,0.8000000000000002,-2.24,-1.78,-2.24,-1.78
429,LiMgF3,0.0,"['Li', 'Mg', 'F']",Li,Mg,F,0.92,0.72,1.33,1,2,-1,0.98,1.31,3.98,1.277777777777778,0.5413533834586466,0.6917293233082706,-3.0,-2.67,-2.46,-2.13
430,NaNiCl3,0.0,"['Na', 'Ni', 'Cl']",Na,Ni,Cl,1.39,0.69,1.81,1,2,-1,0.93,1.91,3.16,2.0144927536231885,0.38121546961325964,0.7679558011049723,-2.23,-1.2500000000000002,-2.51,-1.53
431,CsSrF3,1.0,"['Cs', 'Sr', 'F']",Cs,Sr,F,1.88,1.18,1.33,1,2,-1,0.79,0.95,3.98,1.5932203389830508,0.8872180451127819,1.413533834586466,-3.19,-3.0300000000000002,-2.65,-2.49
432,CdSnO3,1.0,"['Cd', 'Sn', 'O']",Cd,Sn,O,1.31,0.69,1.4,2,4,-2,1.69,1.96,3.44,1.8985507246376814,0.4928571428571428,0.9357142857142858,-1.75,-1.48,-1.75,-1.48
433,TbFeO3,1.0,"['Tb', 'Fe', 'O']",Tb,Fe,O,1.095,0.645,1.4,3,3,-2,1.1,1.83,3.44,1.697674418604651,0.46071428571428574,0.7821428571428571,-2.34,-1.6099999999999999,-2.34,-1.6099999999999999
434,GdNiO3,1.0,"['Gd', 'Ni', 'O']",Gd,Ni,O,1.107,0.6,1.4,3,3,-2,1.2,1.91,3.44,1.845,0.4285714285714286,0.7907142857142857,-2.24,-1.53,-2.24,-1.53
435,CsZnCl3,0.0,"['Cs', 'Zn', 'Cl']",Cs,Zn,Cl,1.88,0.74,1.81,1,2,-1,0.79,1.65,3.16,2.5405405405405403,0.4088397790055249,1.0386740331491713,-2.37,-1.5100000000000002,-2.65,-1.79
436,RbCoCl3,0.0,"['Rb', 'Co', 'Cl']",Rb,Co,Cl,1.72,0.745,1.81,1,2,-1,0.82,1.88,3.16,2.308724832214765,0.4116022099447514,0.9502762430939226,-2.3400000000000003,-1.2800000000000002,-2.62,-1.56
437,RbCaI3,0.0,"['Rb', 'Ca', 'I']",Rb,Ca,I,1.72,1.0,2.2,1,2,-1,0.82,1.0,2.66,1.72,0.45454545454545453,0.7818181818181817,-1.8400000000000003,-1.6600000000000001,-2.62,-2.44
438,CuZnCl3,0.0,"['Cu', 'Zn', 'Cl']",Cu,Zn,Cl,0.77,0.74,1.81,1,2,-1,1.9,1.65,3.16,1.0405405405405406,0.4088397790055249,0.425414364640884,-1.2600000000000002,-1.5100000000000002,-1.54,-1.79
439,RbCdBr3,1.0,"['Rb', 'Cd', 'Br']",Rb,Cd,Br,1.72,0.95,1.96,1,2,-1,0.82,1.69,2.96,1.8105263157894738,0.4846938775510204,0.8775510204081632,-2.14,-1.27,-2.62,-1.75
440,RbMnI3,0.0,"['Rb', 'Mn', 'I']",Rb,Mn,I,1.72,0.83,2.2,1,2,-1,0.82,1.55,2.66,2.072289156626506,0.3772727272727272,0.7818181818181817,-1.8400000000000003,-1.11,-2.62,-1.89
441,CaMoO3,1.0,"['Ca', 'Mo', 'O']",Ca,Mo,O,1.34,0.65,1.4,2,4,-2,1.0,2.16,3.44,2.0615384615384618,0.46428571428571436,0.9571428571428573,-2.44,-1.2799999999999998,-2.44,-1.2799999999999998
442,YGaO3,1.0,"['Y', 'Ga', 'O']",Y,Ga,O,1.075,0.62,1.4,3,3,-2,1.22,1.81,3.44,1.7338709677419355,0.4428571428571429,0.7678571428571429,-2.2199999999999998,-1.63,-2.2199999999999998,-1.63
443,HoCoO3,1.0,"['Ho', 'Co', 'O']",Ho,Co,O,1.12,0.61,1.4,3,3,-2,1.23,1.88,3.44,1.836065573770492,0.4357142857142857,0.8000000000000002,-2.21,-1.56,-2.21,-1.56
444,TlCrF3,1.0,"['Tl', 'Cr', 'F']",Tl,Cr,F,1.7,0.8,1.33,1,2,-1,1.62,1.66,3.98,2.125,0.6015037593984962,1.2781954887218043,-2.36,-2.3200000000000003,-1.8199999999999998,-1.78
445,CaZrS3,1.0,"['Ca', 'Zr', 'S']",Ca,Zr,S,1.34,0.72,1.84,2,4,-2,1.0,1.33,2.58,1.8611111111111114,0.3913043478260869,0.7282608695652174,-1.58,-1.25,-2.44,-2.11
446,CsBeF3,1.0,"['Cs', 'Be', 'F']",Cs,Be,F,1.88,0.45,1.33,1,2,-1,0.79,1.57,3.98,4.177777777777777,0.3383458646616541,1.413533834586466,-3.19,-2.41,-2.65,-1.8699999999999999
447,KVO3,0.0,"['K', 'V', 'O']",K,V,O,1.64,0.54,1.4,1,5,-2,0.82,1.63,3.44,3.0370370370370368,0.3857142857142858,1.1714285714285715,-2.62,-1.81,-2.62,-1.81
448,ScAlO3,1.0,"['Sc', 'Al', 'O']",Sc,Al,O,0.87,0.535,1.4,3,3,-2,1.36,1.61,3.44,1.6261682242990654,0.3821428571428572,0.6214285714285714,-2.08,-1.8299999999999998,-2.08,-1.8299999999999998
449,KCoF3,1.0,"['K', 'Co', 'F']",K,Co,F,1.64,0.745,1.33,1,2,-1,0.82,1.88,3.98,2.2013422818791946,0.5601503759398496,1.2330827067669172,-3.16,-2.1,-2.62,-1.56
450,SrZrS3,1.0,"['Sr', 'Zr', 'S']",Sr,Zr,S,1.44,0.72,1.84,2,4,-2,0.95,1.33,2.58,2.0,0.3913043478260869,0.7826086956521738,-1.6300000000000001,-1.25,-2.49,-2.11
451,RbBeF3,0.0,"['Rb', 'Be', 'F']",Rb,Be,F,1.72,0.45,1.33,1,2,-1,0.82,1.57,3.98,3.822222222222222,0.3383458646616541,1.2932330827067668,-3.16,-2.41,-2.62,-1.8699999999999999
452,CsPbF3,1.0,"['Cs', 'Pb', 'F']",Cs,Pb,F,1.88,1.19,1.33,1,2,-1,0.79,2.33,3.98,1.5798319327731092,0.894736842105263,1.413533834586466,-3.19,-1.65,-2.65,-1.1099999999999999
453,YbTiO3,1.0,"['Yb', 'Ti', 'O']",Yb,Ti,O,1.042,0.67,1.4,3,3,-2,1.1,1.54,3.44,1.5552238805970149,0.47857142857142865,0.7442857142857143,-2.34,-1.9,-2.34,-1.9
454,LuMnO3,1.0,"['Lu', 'Mn', 'O']",Lu,Mn,O,1.032,0.645,1.4,3,3,-2,1.27,1.55,3.44,1.6,0.46071428571428574,0.7371428571428572,-2.17,-1.89,-2.17,-1.89
455,CsMnCl3,1.0,"['Cs', 'Mn', 'Cl']",Cs,Mn,Cl,1.88,0.83,1.81,1,2,-1,0.79,1.55,3.16,2.2650602409638556,0.45856353591160215,1.0386740331491713,-2.37,-1.61,-2.65,-1.89
456,RbCrF3,1.0,"['Rb', 'Cr', 'F']",Rb,Cr,F,1.72,0.8,1.33,1,2,-1,0.82,1.66,3.98,2.15,0.6015037593984962,1.2932330827067668,-3.16,-2.3200000000000003,-2.62,-1.78
457,NaSbO3,1.0,"['Na', 'Sb', 'O']",Na,Sb,O,1.39,0.6,1.4,1,5,-2,0.93,2.05,3.44,2.3166666666666664,0.4285714285714286,0.9928571428571429,-2.51,-1.3900000000000001,-2.51,-1.3900000000000001
458,YbNiO3,1.0,"['Yb', 'Ni', 'O']",Yb,Ni,O,1.042,0.6,1.4,3,3,-2,1.1,1.91,3.44,1.7366666666666668,0.4285714285714286,0.7442857142857143,-2.34,-1.53,-2.34,-1.53
459,ZnSeO3,0.0,"['Zn', 'Se', 'O']",Zn,Se,O,0.9,0.5,1.4,2,4,-2,1.65,2.55,3.44,1.8,0.35714285714285715,0.6428571428571429,-1.79,-0.8900000000000001,-1.79,-0.8900000000000001
460,TeCdO3,0.0,"['Te', 'Cd', 'O']",Te,Cd,O,0.97,0.95,1.4,4,2,-2,2.1,1.69,3.44,1.0210526315789474,0.6785714285714286,0.6928571428571428,-1.3399999999999999,-1.75,-1.3399999999999999,-1.75
461,YCoO3,1.0,"['Y', 'Co', 'O']",Y,Co,O,1.075,0.61,1.4,3,3,-2,1.22,1.88,3.44,1.7622950819672132,0.4357142857142857,0.7678571428571429,-2.2199999999999998,-1.56,-2.2199999999999998,-1.56
462,PuVO3,1.0,"['Pu', 'V', 'O']",Pu,V,O,0.96,0.79,1.4,4,2,-2,1.28,1.63,3.44,1.2151898734177213,0.5642857142857144,0.6857142857142857,-2.16,-1.81,-2.16,-1.81
463,TlNiO3,1.0,"['Tl', 'Ni', 'O']",Tl,Ni,O,0.98,0.6,1.4,3,3,-2,1.62,1.91,3.44,1.6333333333333333,0.4285714285714286,0.7000000000000001,-1.8199999999999998,-1.53,-1.8199999999999998,-1.53
464,PrNiO3,1.0,"['Pr', 'Ni', 'O']",Pr,Ni,O,1.179,0.6,1.4,3,3,-2,1.13,1.91,3.44,1.965,0.4285714285714286,0.8421428571428572,-2.31,-1.53,-2.31,-1.53
465,SnNbS3,0.0,"['Sn', 'Nb', 'S']",Sn,Nb,S,1.15,0.68,1.84,2,4,-2,1.96,1.6,2.58,1.691176470588235,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-0.98,-1.48,-1.8399999999999999
466,CsMnBr3,0.0,"['Cs', 'Mn', 'Br']",Cs,Mn,Br,1.88,0.83,1.96,1,2,-1,0.79,1.55,2.96,2.2650602409638556,0.423469387755102,0.9591836734693877,-2.17,-1.41,-2.65,-1.89
467,CuNbO3,0.0,"['Cu', 'Nb', 'O']",Cu,Nb,O,0.77,0.64,1.4,1,5,-2,1.9,1.6,3.44,1.203125,0.4571428571428572,0.55,-1.54,-1.8399999999999999,-1.54,-1.8399999999999999
468,HgSeO3,0.0,"['Hg', 'Se', 'O']",Hg,Se,O,1.14,0.5,1.4,2,4,-2,2.0,2.55,3.44,2.28,0.35714285714285715,0.8142857142857143,-1.44,-0.8900000000000001,-1.44,-0.8900000000000001
469,CaNbO3,1.0,"['Ca', 'Nb', 'O']",Ca,Nb,O,1.34,0.68,1.4,2,4,-2,1.0,1.6,3.44,1.9705882352941175,0.48571428571428577,0.9571428571428573,-2.44,-1.8399999999999999,-2.44,-1.8399999999999999
470,LaTmO3,1.0,"['La', 'Tm', 'O']",La,Tm,O,1.36,0.88,1.4,3,3,-2,1.1,1.25,3.44,1.5454545454545456,0.6285714285714287,0.9714285714285715,-2.34,-2.19,-2.34,-2.19
471,KUO3,1.0,"['K', 'U', 'O']",K,U,O,1.64,0.76,1.4,1,5,-2,0.82,1.38,3.44,2.1578947368421053,0.5428571428571429,1.1714285714285715,-2.62,-2.06,-2.62,-2.06
472,PrYbS3,0.0,"['Pr', 'Yb', 'S']",Pr,Yb,S,1.179,0.868,1.84,3,3,-2,1.13,1.1,2.58,1.358294930875576,0.4717391304347826,0.6407608695652174,-1.4500000000000002,-1.48,-2.31,-2.34
473,DyMnO3,1.0,"['Dy', 'Mn', 'O']",Dy,Mn,O,1.083,0.645,1.4,3,3,-2,1.22,1.55,3.44,1.6790697674418604,0.46071428571428574,0.7735714285714286,-2.2199999999999998,-1.89,-2.2199999999999998,-1.89
474,TbRhO3,1.0,"['Tb', 'Rh', 'O']",Tb,Rh,O,1.095,0.665,1.4,3,3,-2,1.1,2.28,3.44,1.6466165413533833,0.47500000000000003,0.7821428571428571,-2.34,-1.1600000000000001,-2.34,-1.1600000000000001
475,TlCdCl3,1.0,"['Tl', 'Cd', 'Cl']",Tl,Cd,Cl,1.7,0.95,1.81,1,2,-1,1.62,1.69,3.16,1.7894736842105263,0.5248618784530387,0.9392265193370165,-1.54,-1.4700000000000002,-1.8199999999999998,-1.75
476,KSmCl3,0.0,"['K', 'Sm', 'Cl']",K,Sm,Cl,1.64,1.22,1.81,1,2,-1,0.82,1.17,3.16,1.3442622950819672,0.6740331491712707,0.9060773480662982,-2.3400000000000003,-1.9900000000000002,-2.62,-2.27
477,TeCuO3,0.0,"['Te', 'Cu', 'O']",Te,Cu,O,0.97,0.73,1.4,4,2,-2,2.1,1.9,3.44,1.3287671232876712,0.5214285714285715,0.6928571428571428,-1.3399999999999999,-1.54,-1.3399999999999999,-1.54
478,GdScO3,1.0,"['Gd', 'Sc', 'O']",Gd,Sc,O,1.107,0.745,1.4,3,3,-2,1.2,1.36,3.44,1.4859060402684563,0.5321428571428571,0.7907142857142857,-2.24,-2.08,-2.24,-2.08
479,LiBeCl3,0.0,"['Li', 'Be', 'Cl']",Li,Be,Cl,0.92,0.45,1.81,1,2,-1,0.98,1.57,3.16,2.0444444444444443,0.24861878453038674,0.5082872928176796,-2.18,-1.59,-2.46,-1.8699999999999999
480,CeLuS3,0.0,"['Ce', 'Lu', 'S']",Ce,Lu,S,1.34,0.861,1.84,3,3,-2,1.12,1.27,2.58,1.556329849012776,0.46793478260869564,0.7282608695652174,-1.46,-1.31,-2.32,-2.17
481,BiScO3,1.0,"['Bi', 'Sc', 'O']",Bi,Sc,O,1.17,0.745,1.4,3,3,-2,2.02,1.36,3.44,1.570469798657718,0.5321428571428571,0.8357142857142857,-1.42,-2.08,-1.42,-2.08
482,DyScO3,1.0,"['Dy', 'Sc', 'O']",Dy,Sc,O,1.083,0.745,1.4,3,3,-2,1.22,1.36,3.44,1.4536912751677853,0.5321428571428571,0.7735714285714286,-2.2199999999999998,-2.08,-2.2199999999999998,-2.08
483,SrHfS3,1.0,"['Sr', 'Hf', 'S']",Sr,Hf,S,1.44,0.71,1.84,2,4,-2,0.95,1.3,2.58,2.028169014084507,0.38586956521739124,0.7826086956521738,-1.6300000000000001,-1.28,-2.49,-2.1399999999999997
484,SmYbSe3,0.0,"['Sm', 'Yb', 'Se']",Sm,Yb,Se,1.24,0.868,1.98,3,3,-2,1.17,1.1,2.55,1.4285714285714286,0.4383838383838384,0.6262626262626263,-1.38,-1.4499999999999997,-2.27,-2.34
485,EuGaO3,1.0,"['Eu', 'Ga', 'O']",Eu,Ga,O,1.12,0.62,1.4,3,3,-2,1.2,1.81,3.44,1.806451612903226,0.4428571428571429,0.8000000000000002,-2.24,-1.63,-2.24,-1.63
486,LaRuO3,1.0,"['La', 'Ru', 'O']",La,Ru,O,1.36,0.68,1.4,3,3,-2,1.1,2.2,3.44,2.0,0.48571428571428577,0.9714285714285715,-2.34,-1.2399999999999998,-2.34,-1.2399999999999998
487,TmBO3,0.0,"['Tm', 'B', 'O']",Tm,B,O,1.052,0.27,1.4,3,3,-2,1.25,2.04,3.44,3.8962962962962964,0.1928571428571429,0.7514285714285716,-2.19,-1.4,-2.19,-1.4
488,NiTiO3,0.0,"['Ni', 'Ti', 'O']",Ni,Ti,O,0.69,0.605,1.4,2,4,-2,1.91,1.54,3.44,1.140495867768595,0.43214285714285716,0.4928571428571428,-1.53,-1.9,-1.53,-1.9
489,KCoI3,0.0,"['K', 'Co', 'I']",K,Co,I,1.64,0.745,2.2,1,2,-1,0.82,1.88,2.66,2.2013422818791946,0.3386363636363636,0.7454545454545454,-1.8400000000000003,-0.7800000000000002,-2.62,-1.56
490,RbFeF3,1.0,"['Rb', 'Fe', 'F']",Rb,Fe,F,1.72,0.78,1.33,1,2,-1,0.82,1.83,3.98,2.205128205128205,0.5864661654135338,1.2932330827067668,-3.16,-2.15,-2.62,-1.6099999999999999
491,KNiF3,1.0,"['K', 'Ni', 'F']",K,Ni,F,1.64,0.69,1.33,1,2,-1,0.82,1.91,3.98,2.3768115942028984,0.5187969924812029,1.2330827067669172,-3.16,-2.0700000000000003,-2.62,-1.53
492,HgTeO3,0.0,"['Hg', 'Te', 'O']",Hg,Te,O,1.14,0.97,1.4,2,4,-2,2.0,2.1,3.44,1.1752577319587627,0.6928571428571428,0.8142857142857143,-1.44,-1.3399999999999999,-1.44,-1.3399999999999999
493,NdLuS3,0.0,"['Nd', 'Lu', 'S']",Nd,Lu,S,1.27,0.861,1.84,3,3,-2,1.14,1.27,2.58,1.4750290360046459,0.46793478260869564,0.6902173913043478,-1.4400000000000002,-1.31,-2.3,-2.17
494,BaTaS3,0.0,"['Ba', 'Ta', 'S']",Ba,Ta,S,1.61,0.68,1.84,2,4,-2,0.89,1.5,2.58,2.3676470588235294,0.3695652173913044,0.875,-1.69,-1.08,-2.55,-1.94
495,NdFeO3,1.0,"['Nd', 'Fe', 'O']",Nd,Fe,O,1.27,0.645,1.4,3,3,-2,1.14,1.83,3.44,1.9689922480620154,0.46071428571428574,0.9071428571428573,-2.3,-1.6099999999999999,-2.3,-1.6099999999999999
496,KVF3,1.0,"['K', 'V', 'F']",K,V,F,1.64,0.79,1.33,1,2,-1,0.82,1.63,3.98,2.0759493670886076,0.5939849624060151,1.2330827067669172,-3.16,-2.35,-2.62,-1.81
497,BaTiSe3,0.0,"['Ba', 'Ti', 'Se']",Ba,Ti,Se,1.61,0.605,1.98,2,4,-2,0.89,1.54,2.55,2.6611570247933884,0.3055555555555555,0.8131313131313131,-1.6599999999999997,-1.0099999999999998,-2.55,-1.9
498,KNiCl3,0.0,"['K', 'Ni', 'Cl']",K,Ni,Cl,1.64,0.69,1.81,1,2,-1,0.82,1.91,3.16,2.3768115942028984,0.38121546961325964,0.9060773480662982,-2.3400000000000003,-1.2500000000000002,-2.62,-1.53
499,PbNaCl3,0.0,"['Pb', 'Na', 'Cl']",Pb,Na,Cl,1.49,1.02,1.81,2,1,-1,2.33,0.93,3.16,1.4607843137254901,0.56353591160221,0.8232044198895028,-0.8300000000000001,-2.23,-1.1099999999999999,-2.51
500,CsNbO3,0.0,"['Cs', 'Nb', 'O']",Cs,Nb,O,1.88,0.64,1.4,1,5,-2,0.79,1.6,3.44,2.9374999999999996,0.4571428571428572,1.342857142857143,-2.65,-1.8399999999999999,-2.65,-1.8399999999999999
501,DyAlO3,1.0,"['Dy', 'Al', 'O']",Dy,Al,O,1.083,0.535,1.4,3,3,-2,1.22,1.61,3.44,2.0242990654205606,0.3821428571428572,0.7735714285714286,-2.2199999999999998,-1.8299999999999998,-2.2199999999999998,-1.8299999999999998
502,NaVF3,1.0,"['Na', 'V', 'F']",Na,V,F,1.39,0.79,1.33,1,2,-1,0.93,1.63,3.98,1.7594936708860758,0.5939849624060151,1.045112781954887,-3.05,-2.35,-2.51,-1.81
503,CeYbO3,1.0,"['Ce', 'Yb', 'O']",Ce,Yb,O,1.34,0.868,1.4,3,3,-2,1.12,1.1,3.44,1.543778801843318,0.62,0.9571428571428573,-2.32,-2.34,-2.32,-2.34
504,MnSiO3,0.0,"['Mn', 'Si', 'O']",Mn,Si,O,0.96,0.4,1.4,2,4,-2,1.55,1.9,3.44,2.4,0.28571428571428575,0.6857142857142857,-1.89,-1.54,-1.89,-1.54
505,GdGaO3,1.0,"['Gd', 'Ga', 'O']",Gd,Ga,O,1.107,0.62,1.4,3,3,-2,1.2,1.81,3.44,1.7854838709677419,0.4428571428571429,0.7907142857142857,-2.24,-1.63,-2.24,-1.63
506,AgClO3,0.0,"['Ag', 'Cl', 'O']",Ag,Cl,O,1.28,0.12,1.4,1,5,-2,1.93,3.16,3.44,10.666666666666668,0.08571428571428572,0.9142857142857144,-1.51,-0.2799999999999998,-1.51,-0.2799999999999998
507,EuFeO3,1.0,"['Eu', 'Fe', 'O']",Eu,Fe,O,1.12,0.645,1.4,3,3,-2,1.2,1.83,3.44,1.736434108527132,0.46071428571428574,0.8000000000000002,-2.24,-1.6099999999999999,-2.24,-1.6099999999999999
508,MnSeO3,0.0,"['Mn', 'Se', 'O']",Mn,Se,O,0.96,0.5,1.4,2,4,-2,1.55,2.55,3.44,1.92,0.35714285714285715,0.6857142857142857,-1.89,-0.8900000000000001,-1.89,-0.8900000000000001
509,CaCO3,0.0,"['Ca', 'C', 'O']",Ca,C,O,1.34,0.16,1.4,2,4,-2,1.0,2.55,3.44,8.375,0.1142857142857143,0.9571428571428573,-2.44,-0.8900000000000001,-2.44,-0.8900000000000001
510,AgBiO3,0.0,"['Ag', 'Bi', 'O']",Ag,Bi,O,1.28,0.76,1.4,1,5,-2,1.93,2.02,3.44,1.6842105263157894,0.5428571428571429,0.9142857142857144,-1.51,-1.42,-1.51,-1.42
511,SnVS3,0.0,"['Sn', 'V', 'S']",Sn,V,S,1.15,0.58,1.84,2,4,-2,1.96,1.63,2.58,1.9827586206896552,0.3152173913043478,0.6249999999999999,-0.6200000000000001,-0.9500000000000002,-1.48,-1.81
512,SnTaS3,0.0,"['Sn', 'Ta', 'S']",Sn,Ta,S,1.15,0.68,1.84,2,4,-2,1.96,1.5,2.58,1.691176470588235,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-1.08,-1.48,-1.94
513,GeCoO3,0.0,"['Ge', 'Co', 'O']",Ge,Co,O,0.73,0.53,1.4,2,4,-2,2.01,1.88,3.44,1.3773584905660377,0.3785714285714286,0.5214285714285715,-1.4300000000000002,-1.56,-1.4300000000000002,-1.56
514,PbSeO3,0.0,"['Pb', 'Se', 'O']",Pb,Se,O,1.49,0.5,1.4,2,4,-2,2.33,2.55,3.44,2.98,0.35714285714285715,1.0642857142857143,-1.1099999999999999,-0.8900000000000001,-1.1099999999999999,-0.8900000000000001
515,KCoBr3,0.0,"['K', 'Co', 'Br']",K,Co,Br,1.64,0.745,1.96,1,2,-1,0.82,1.88,2.96,2.2013422818791946,0.38010204081632654,0.836734693877551,-2.14,-1.08,-2.62,-1.56
516,LiNbO3,0.0,"['Li', 'Nb', 'O']",Li,Nb,O,0.92,0.64,1.4,1,5,-2,0.98,1.6,3.44,1.4375,0.4571428571428572,0.6571428571428573,-2.46,-1.8399999999999999,-2.46,-1.8399999999999999
517,SrNbO3,1.0,"['Sr', 'Nb', 'O']",Sr,Nb,O,1.44,0.68,1.4,2,4,-2,0.95,1.6,3.44,2.117647058823529,0.48571428571428577,1.0285714285714287,-2.49,-1.8399999999999999,-2.49,-1.8399999999999999
518,YTmO3,0.0,"['Y', 'Tm', 'O']",Y,Tm,O,1.075,0.88,1.4,3,3,-2,1.22,1.25,3.44,1.221590909090909,0.6285714285714287,0.7678571428571429,-2.2199999999999998,-2.19,-2.2199999999999998,-2.19
519,InBO3,0.0,"['In', 'B', 'O']",In,B,O,0.92,0.27,1.4,3,3,-2,1.78,2.04,3.44,3.4074074074074074,0.1928571428571429,0.6571428571428573,-1.66,-1.4,-1.66,-1.4
520,RbCoF3,1.0,"['Rb', 'Co', 'F']",Rb,Co,F,1.72,0.745,1.33,1,2,-1,0.82,1.88,3.98,2.308724832214765,0.5601503759398496,1.2932330827067668,-3.16,-2.1,-2.62,-1.56
521,YFeO3,1.0,"['Y', 'Fe', 'O']",Y,Fe,O,1.075,0.645,1.4,3,3,-2,1.22,1.83,3.44,1.6666666666666665,0.46071428571428574,0.7678571428571429,-2.2199999999999998,-1.6099999999999999,-2.2199999999999998,-1.6099999999999999
522,HoScS3,1.0,"['Ho', 'Sc', 'S']",Ho,Sc,S,1.12,0.745,1.84,3,3,-2,1.23,1.36,2.58,1.5033557046979866,0.40489130434782605,0.6086956521739131,-1.35,-1.22,-2.21,-2.08
523,RbTmI3,1.0,"['Rb', 'Tm', 'I']",Rb,Tm,I,1.72,1.03,2.2,1,2,-1,0.82,1.25,2.66,1.6699029126213591,0.46818181818181814,0.7818181818181817,-1.8400000000000003,-1.4100000000000001,-2.62,-2.19
524,BaVS3,0.0,"['Ba', 'V', 'S']",Ba,V,S,1.61,0.58,1.84,2,4,-2,0.89,1.63,2.58,2.775862068965518,0.3152173913043478,0.875,-1.69,-0.9500000000000002,-2.55,-1.81
525,LiNiCl3,0.0,"['Li', 'Ni', 'Cl']",Li,Ni,Cl,0.92,0.69,1.81,1,2,-1,0.98,1.91,3.16,1.3333333333333335,0.38121546961325964,0.5082872928176796,-2.18,-1.2500000000000002,-2.46,-1.53
526,YScS3,1.0,"['Y', 'Sc', 'S']",Y,Sc,S,1.075,0.745,1.84,3,3,-2,1.22,1.36,2.58,1.4429530201342282,0.40489130434782605,0.5842391304347826,-1.36,-1.22,-2.2199999999999998,-2.08
