,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO
255,KCdCl3,1.0,"['K', 'Cd', 'Cl']",K,Cd,Cl,1.64,0.95,1.81,1,2,-1,0.82,1.69,3.16,1.7263157894736842,0.5248618784530387,0.9060773480662982,-2.3400000000000003,-1.4700000000000002,-2.62,-1.75
256,CrLiCl3,0.0,"['Cr', 'Li', 'Cl']",Cr,Li,Cl,0.8,0.76,1.81,2,1,-1,1.66,0.98,3.16,1.0526315789473684,0.4198895027624309,0.44198895027624313,-1.5000000000000002,-2.18,-1.78,-2.46
257,HoAlO3,1.0,"['Ho', 'Al', 'O']",Ho,Al,O,1.12,0.535,1.4,3,3,-2,1.23,1.61,3.44,2.093457943925234,0.3821428571428572,0.8000000000000002,-2.21,-1.8299999999999998,-2.21,-1.8299999999999998
258,PbSO3,0.0,"['Pb', 'S', 'O']",Pb,S,O,1.49,0.37,1.4,2,4,-2,2.33,2.58,3.44,4.027027027027027,0.2642857142857143,1.0642857142857143,-1.1099999999999999,-0.8599999999999999,-1.1099999999999999,-0.8599999999999999
259,SnZrS3,0.0,"['Sn', 'Zr', 'S']",Sn,Zr,S,1.15,0.72,1.84,2,4,-2,1.96,1.33,2.58,1.597222222222222,0.3913043478260869,0.6249999999999999,-0.6200000000000001,-1.25,-1.48,-2.11
260,TlMnF3,1.0,"['Tl', 'Mn', 'F']",Tl,Mn,F,1.7,0.83,1.33,1,2,-1,1.62,1.55,3.98,2.0481927710843375,0.6240601503759398,1.2781954887218043,-2.36,-2.4299999999999997,-1.8199999999999998,-1.89
261,BaTiS3,0.0,"['Ba', 'Ti', 'S']",Ba,Ti,S,1.61,0.605,1.84,2,4,-2,0.89,1.54,2.58,2.6611570247933884,0.3288043478260869,0.875,-1.69,-1.04,-2.55,-1.9
262,TlBrO3,0.0,"['Tl', 'Br', 'O']",Tl,Br,O,1.7,0.31,1.4,1,5,-2,1.62,2.96,3.44,5.483870967741935,0.22142857142857145,1.2142857142857144,-1.8199999999999998,-0.48,-1.8199999999999998,-0.48
263,NaPaO3,1.0,"['Na', 'Pa', 'O']",Na,Pa,O,1.39,0.78,1.4,1,5,-2,0.93,1.5,3.44,1.782051282051282,0.5571428571428572,0.9928571428571429,-2.51,-1.94,-2.51,-1.94
264,SmRhO3,1.0,"['Sm', 'Rh', 'O']",Sm,Rh,O,1.24,0.665,1.4,3,3,-2,1.17,2.28,3.44,1.8646616541353382,0.47500000000000003,0.8857142857142858,-2.27,-1.1600000000000001,-2.27,-1.1600000000000001
