,diff,PCE (%)
158,0.316,31.712361900613452
159,0.318,31.697865078099028
160,0.32,31.68577566879893
161,0.322,31.673644451295317
162,0.324,31.662127315366885
163,0.326,31.64984712846351
164,0.328,31.637764993596498
165,0.33,31.626671238782585
166,0.332,31.615376493258516
167,0.334,31.604461027654867
168,0.336,31.593953097355566
169,0.338,31.58399763247236
170,0.34,31.57363468140106
171,0.342,31.562863857082018
172,0.344,31.552044896325597
173,0.346,31.541023048781092
174,0.348,31.53001575165675
175,0.35,31.51823023481041
176,0.352,31.506195823234496
177,0.354,31.493501303136792
178,0.356,31.47886177297802
179,0.358,31.460533410168704
180,0.36,31.43930070092787
181,0.362,31.41595992049551
182,0.364,31.393050122594463
183,0.366,31.37307116976311
184,0.368,31.3546380883964
185,0.37,31.33842208261555
186,0.372,31.32196656086253
187,0.374,31.30453927900244
188,0.376,31.288163778943836
189,0.378,31.271478967509196
190,0.38,31.25291678114599
191,0.382,31.23386540912455
192,0.384,31.211991789073394
193,0.386,31.18661951270982
194,0.388,31.1610892109431
195,0.39,31.13728687223576
196,0.392,31.111550484510765
197,0.394,31.08048695830076
198,0.396,31.045358916056156
199,0.398,31.009614565868667
200,0.4,30.9707920021747
201,0.402,30.930272216574878
202,0.404,30.89388023190984
203,0.406,30.852444858006134
204,0.408,30.799608511645655
205,0.41,30.74155899269145
206,0.412,30.682529096342012
207,0.414,30.62228361721757
208,0.416,30.561938405431768
209,0.418,30.49476632033658
210,0.42,30.411757641751297
211,0.422,30.31919699460545
212,0.424,30.22549621951394
213,0.426,30.1311479128719
214,0.428,30.036728361102913
215,0.43,29.94225434935312
216,0.432,29.84773271568179
217,0.434,29.75328721360199
218,0.436,29.65905809280111
219,0.438,29.564807459005703
220,0.44,29.47059605996403
221,0.442,29.376307587968654
222,0.444,29.281880386437663
223,0.446,29.18781060973919
224,0.448,29.093744469307882
225,0.45,28.999618009761924
226,0.452,28.905394360429064
227,0.454,28.811146801669146
228,0.456,28.71736262331056
229,0.458,28.623791491756876
230,0.46,28.529999583109657
231,0.462,28.43689180571316
232,0.464,28.345629959904414
233,0.466,28.25410343130748
234,0.468,28.165560193464326
235,0.47,28.079219788293056
236,0.472,27.990505157401923
237,0.474,27.899844692770394
238,0.476,27.809444602600774
239,0.478,27.721774947089077
240,0.48,27.635244412492813
241,0.482,27.54985726237466
242,0.484,27.472222048370448
243,0.486,27.396733656525086
244,0.488,27.317821871448505
245,0.49,27.249456143902837
246,0.492,27.184539109588343
247,0.494,27.110169063160857
248,0.496,27.033813612315292
249,0.498,26.95623987844136
250,0.5,26.87670474162036
251,0.502,26.798767999880692
252,0.504,26.72964418306007
253,0.506,26.660082691287855
254,0.508,26.594825541325893
255,0.51,26.544335415508552
256,0.512,26.4963895255502
257,0.514,26.45520988353211
258,0.516,26.410987092413297
259,0.518,26.36155683698666
260,0.52,26.321045925895262
261,0.522,26.28597711005118
262,0.524,26.25076245899839
263,0.526,26.217897394536088
264,0.528,26.186006496148035
265,0.53,26.153112485814404
266,0.532,26.120572512457265
267,0.534,26.088500568857626
268,0.536,26.057025562067643
269,0.538,26.025911358316375
270,0.54,25.99467290701794
271,0.542,25.96223429526983
272,0.544,25.930172918283187
273,0.546,25.89835916145266
274,0.548,25.865848752820202
275,0.55,25.83075294385687
276,0.552,25.792803352553893
277,0.554,25.752395225016695
278,0.556,25.71263338559953
279,0.558,25.67678746469347
280,0.56,25.64041314047005
281,0.562,25.603936775304398
282,0.564,25.569172232814843
283,0.566,25.530769096883645
284,0.568,25.490458190905823
285,0.57,25.44964203370441
286,0.572,25.409022202224858
287,0.574,25.37130798837006
288,0.576,25.333805756059146
289,0.578,25.296107184987676
290,0.58,25.258255365066248
291,0.582,25.21964557166275
292,0.584,25.177982016870065
293,0.586,25.134437931365856
294,0.588,25.09158096758756
295,0.59,25.04858883467125
296,0.592,25.006237620351996
297,0.594,24.96414208886616
298,0.596,24.918815658089965
299,0.598,24.873094428023208
300,0.6,24.829019224988567
301,0.602,24.783364227249717
302,0.604,24.737275166263924
303,0.606,24.69150207858445
304,0.608,24.645375364871587
305,0.61,24.59928286308063
306,0.612,24.55254800032535
307,0.614,24.50381023689089
308,0.616,24.453708266038433
309,0.618,24.40296673415987
310,0.62,24.35124625648663
