,diff,PCE (%)
133,1.34,36.19079890036541
134,1.35,36.14115869910355
135,1.36,36.02082664345085
136,1.37,35.96768593714822
137,1.38,35.91138672817674
138,1.39,35.88458423236804
139,1.4,35.74269425050763
140,1.41,35.705374914165205
141,1.42,35.69271588562138
142,1.43,35.612938670117174
143,1.44,35.59551864659991
144,1.45,35.578809310329724
145,1.46,35.54322284006052
146,1.47,35.456784559716404
147,1.48,35.426861454948764
148,1.49,35.39958488505211
149,1.5,35.371099380309566
150,1.51,35.34414669550087
151,1.52,35.28337140276709
152,1.53,35.265742159382945
153,1.54,35.24001767012663
154,1.55,35.2034105235582
155,1.56,35.17027731098027
156,1.57,35.13424634020978
157,1.58,35.048241979406995
158,1.59,35.01566197018693
159,1.6,34.987975725900824
160,1.61,34.9620417285437
161,1.62,34.9320881863555
162,1.63,34.898503610365864
163,1.64,34.86349564899809
164,1.65,34.82444838756871
165,1.66,34.748217918747535
166,1.67,34.71051694277376
167,1.68,34.67177654610715
168,1.69,34.63959465602342
169,1.7,34.608235956778536
170,1.71,34.57691516296433
171,1.72,34.54953153275116
172,1.73,34.52280630739351
173,1.74,34.49107868872263
174,1.75,34.46707771675612
175,1.76,34.4453439658709
176,1.77,34.42179770233553
177,1.78,34.392056956778816
178,1.79,34.358542643054776
179,1.8,34.32521265867114
180,1.81,34.296937711943755
181,1.82,34.26863418300969
182,1.83,34.238038877331405
183,1.84,34.20873711785469
184,1.85,34.18315436530993
185,1.86,34.15682015419164
186,1.87,34.12913791446159
187,1.88,34.10230951675941
188,1.89,34.07650388617082
189,1.9,34.05309660573362
190,1.91,34.02348155916336
191,1.92,33.99531079639097
192,1.93,33.968116365160206
193,1.94,33.93885558679801
194,1.95,33.91185368848343
195,1.96,33.88656883543738
196,1.97,33.86496136460052
197,1.98,33.86687288779646
198,1.99,33.84242383116114
199,2.0,33.81476119579316
200,2.01,33.790072064293
201,2.02,33.7643432082907
202,2.03,33.738061957413414
203,2.04,33.71379819012275
204,2.05,33.685050959360346
205,2.06,33.659302859739626
206,2.07,33.660309128405025
207,2.08,33.638892029964545
208,2.09,33.61439177167484
209,2.1,33.590873588744884
210,2.11,33.5737902594397
211,2.12,33.55686724432992
212,2.13,33.543903594246295
213,2.14,33.54442554483845
214,2.15,33.5307326190895
215,2.16,33.515184628414154
216,2.17,33.50245930697141
217,2.18,33.48972743870029
218,2.19,33.4787911753813
219,2.2,33.479046876057865
220,2.21,33.46831535855033
221,2.22,33.46062882529495
222,2.23,33.45210311800686
223,2.24,33.444612367124364
224,2.25,33.44473230509849
225,2.26,33.43798788749118
226,2.27,33.43212060246342
227,2.28,33.42690951139108
228,2.29,33.42793125002338
229,2.3,33.42376369396938
230,2.31,33.42122327432741
231,2.32,33.418850590993685
232,2.33,33.417108326652965
233,2.34,33.417122331656024
234,2.35,33.41596023686854
235,2.36,33.41493135269206
236,2.37,33.414342243237606
237,2.38,33.41434553754448
238,2.39,33.4139044385431
239,2.4,33.41372407706237
