formula,bandgap,bandgap_sigma
YbBiSe3,0.6939060688018799,0.10660015791654587
GdInS3,1.6164684295654297,0.0640178844332695
GdInSe3,1.3212496042251587,0.0644381195306778
SmInS3,1.8009471893310547,0.08187449723482132
SmInSe3,1.6126450300216675,0.08266927301883698
YBiSe3,0.5925246477127075,0.13138921558856964
DyInS3,1.6988672018051147,0.06405968964099884
DyInSe3,1.4365432262420654,0.059226103127002716
HoBiSe3,0.7010260820388794,0.11825992166996002
ErBiSe3,0.6009114980697632,0.09948968142271042
TmBiS3,1.3574373722076416,0.0717213824391365
TmBiSe3,0.859962522983551,0.07559528201818466
LuBiS3,1.2940083742141724,0.09072040766477585
LuBiSe3,0.8597255945205688,0.12263322621583939
ScMnSe3,1.2281620502471924,0.16328109800815582
TlInS3,2.072662353515625,0.07740684598684311
TlInSe3,1.497089147567749,0.07766224443912506
TiRhSe3,0.5934919118881226,0.09456734359264374
RuRhSe3,0.6825536489486694,0.08205621689558029
GaRhS3,2.111768960952759,0.10333972424268723
GaRhSe3,1.6123515367507935,0.09353611618280411
AlRhS3,1.8031253814697266,0.13993273675441742
AlRhSe3,1.5693533420562744,0.10044467449188232
FeRhS3,0.7262824773788452,0.11742457002401352
FeRhSe3,0.535843014717102,0.08279166370630264
CrRhS3,0.6014883518218994,0.14942577481269836
CrRhSe3,0.4070535898208618,0.09843143820762634
TbInS3,1.7912044525146484,0.068915456533432
TbInSe3,1.5155060291290283,0.06547576934099197
CoNiSe3,0.828648030757904,0.4138917028903961
CrNiS3,0.41139209270477295,0.4329283535480499
CrNiSe3,0.34742021560668945,0.22537054121494293
AlGaS3,3.1541013717651367,0.9370368719100952
AlGaSe3,2.3688714504241943,0.2034980058670044
GaFeSe3,1.2193094491958618,0.14594367146492004
CrGaS3,1.3723020553588867,0.4687193036079407
CrGaSe3,0.926185131072998,0.20099115371704102
MnGaSe3,2.100461959838867,0.0952162891626358
CrFeS3,0.4052361249923706,0.24110934138298035
CrFeSe3,0.3320964574813843,0.1506498157978058
MnFeSe3,0.45492494106292725,0.19106662273406982
MnInS3,1.877720832824707,0.19417929649353027
MnInSe3,1.2507076263427734,0.11376646906137466
